Condition,State,PPH_per_1000,Year,Jurisdiction,Sector,Cost_per_person,Cost_per_PPH
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,74.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,51.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,0.0,
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,13.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,1118.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,18.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,53.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,4.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,65.0,inf
Pneumonia (not vaccine-preventable),NSW,0.0,2022-23,NSW,Hospitals,1607.0,inf
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,18.0,9473.684210526317
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,119.0,62631.57894736843
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,121.0,63684.210526315794
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,360.0,189473.68421052632
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,74.0,38947.36842105263
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,51.0,26842.105263157897
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,0.0,0.0
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,13.0,6842.105263157895
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,1118.0,588421.052631579
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,18.0,9473.684210526317
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,53.0,27894.736842105263
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,4.0,2105.263157894737
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,65.0,34210.52631578947
Cellulitis,NSW,1.9,2022-23,NSW,Hospitals,1607.0,845789.4736842106
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,18.0,15000.0
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,119.0,99166.66666666667
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,121.0,100833.33333333334
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,360.0,300000.0
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,74.0,61666.66666666667
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,51.0,42500.0
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,0.0,0.0
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,13.0,10833.333333333334
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,1118.0,931666.6666666667
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,18.0,15000.0
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,53.0,44166.66666666667
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,4.0,3333.3333333333335
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,65.0,54166.66666666667
Convulsions and epilepsy,NSW,1.2,2022-23,NSW,Hospitals,1607.0,1339166.6666666667
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,18.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,119.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,121.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,360.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,74.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,51.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,0.0,
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,13.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,1118.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,18.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,53.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,4.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,65.0,inf
Eclampsia,NSW,0.0,2022-23,NSW,Hospitals,1607.0,inf
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,18.0,6000.0
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,119.0,39666.666666666664
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,121.0,40333.333333333336
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,360.0,120000.0
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,74.0,24666.666666666668
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,51.0,17000.0
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,0.0,0.0
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,13.0,4333.333333333333
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,1118.0,372666.6666666667
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,18.0,6000.0
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,53.0,17666.666666666668
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,4.0,1333.3333333333333
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,65.0,21666.666666666668
Dental conditions,NSW,3.0,2022-23,NSW,Hospitals,1607.0,535666.6666666666
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,18.0,12000.0
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,119.0,79333.33333333333
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,121.0,80666.66666666667
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,360.0,240000.0
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,74.0,49333.333333333336
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,51.0,34000.0
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,0.0,0.0
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,13.0,8666.666666666666
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,1118.0,745333.3333333334
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,18.0,12000.0
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,53.0,35333.333333333336
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,4.0,2666.6666666666665
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,65.0,43333.333333333336
"Ear, nose and throat infections",NSW,1.5,2022-23,NSW,Hospitals,1607.0,1071333.3333333333
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,18.0,45000.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,119.0,297500.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,121.0,302500.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,360.0,900000.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,74.0,185000.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,51.0,127500.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,0.0,0.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,13.0,32500.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,1118.0,2795000.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,18.0,45000.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,53.0,132500.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,4.0,10000.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,65.0,162500.0
Gangrene,NSW,0.4,2022-23,NSW,Hospitals,1607.0,4017500.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,18.0,180000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,119.0,1190000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,121.0,1210000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,360.0,3600000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,74.0,740000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,51.0,510000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,0.0,0.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,13.0,130000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,1118.0,11180000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,18.0,180000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,53.0,530000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,4.0,40000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,65.0,650000.0
Pelvic inflammatory disease,NSW,0.1,2022-23,NSW,Hospitals,1607.0,16070000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,18.0,90000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,119.0,595000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,121.0,605000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,360.0,1800000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,74.0,370000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,51.0,255000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,0.0,0.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,13.0,65000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,1118.0,5590000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,18.0,90000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,53.0,265000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,4.0,20000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,65.0,325000.0
Perforated/bleeding ulcer,NSW,0.2,2022-23,NSW,Hospitals,1607.0,8035000.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,18.0,7200.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,119.0,47600.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,121.0,48400.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,360.0,144000.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,74.0,29600.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,51.0,20400.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,0.0,0.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,13.0,5200.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,1118.0,447200.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,18.0,7200.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,53.0,21200.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,4.0,1600.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,65.0,26000.0
Urinary tract infections including pyelonephritis,NSW,2.5,2022-23,NSW,Hospitals,1607.0,642800.0
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,18.0,1682.2429906542056
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,119.0,11121.495327102804
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,121.0,11308.411214953272
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,360.0,33644.85981308411
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,74.0,6915.88785046729
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,51.0,4766.355140186916
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,0.0,0.0
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,13.0,1214.9532710280375
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,1118.0,104485.98130841122
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,18.0,1682.2429906542056
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,53.0,4953.271028037383
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,4.0,373.8317757009346
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,65.0,6074.766355140187
Total acute conditions(c),NSW,10.7,2022-23,NSW,Hospitals,1607.0,150186.91588785048
Angina,NSW,0.6,2022-23,NSW,Hospitals,18.0,30000.0
Angina,NSW,0.6,2022-23,NSW,Hospitals,119.0,198333.33333333334
Angina,NSW,0.6,2022-23,NSW,Hospitals,121.0,201666.6666666667
Angina,NSW,0.6,2022-23,NSW,Hospitals,360.0,600000.0
Angina,NSW,0.6,2022-23,NSW,Hospitals,74.0,123333.33333333334
Angina,NSW,0.6,2022-23,NSW,Hospitals,51.0,85000.0
Angina,NSW,0.6,2022-23,NSW,Hospitals,0.0,0.0
Angina,NSW,0.6,2022-23,NSW,Hospitals,13.0,21666.666666666668
Angina,NSW,0.6,2022-23,NSW,Hospitals,1118.0,1863333.3333333335
Angina,NSW,0.6,2022-23,NSW,Hospitals,18.0,30000.0
Angina,NSW,0.6,2022-23,NSW,Hospitals,53.0,88333.33333333334
Angina,NSW,0.6,2022-23,NSW,Hospitals,4.0,6666.666666666667
Angina,NSW,0.6,2022-23,NSW,Hospitals,65.0,108333.33333333334
Angina,NSW,0.6,2022-23,NSW,Hospitals,1607.0,2678333.3333333335
Asthma,NSW,1.0,2022-23,NSW,Hospitals,18.0,18000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,119.0,119000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,121.0,121000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,360.0,360000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,74.0,74000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,51.0,51000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,0.0,0.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,13.0,13000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,1118.0,1118000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,18.0,18000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,53.0,53000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,4.0,4000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,65.0,65000.0
Asthma,NSW,1.0,2022-23,NSW,Hospitals,1607.0,1607000.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,18.0,11250.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,119.0,74375.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,121.0,75625.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,360.0,225000.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,74.0,46250.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,51.0,31875.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,0.0,0.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,13.0,8125.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,1118.0,698750.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,18.0,11250.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,53.0,33125.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,4.0,2500.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,65.0,40625.0
Chronic obstructive pulmonary disease,NSW,1.6,2022-23,NSW,Hospitals,1607.0,1004375.0
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,18.0,10588.235294117647
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,119.0,70000.0
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,121.0,71176.4705882353
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,360.0,211764.70588235295
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,74.0,43529.41176470588
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,51.0,30000.0
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,0.0,0.0
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,13.0,7647.058823529412
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,1118.0,657647.0588235294
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,18.0,10588.235294117647
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,53.0,31176.470588235294
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,4.0,2352.9411764705883
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,65.0,38235.29411764706
Congestive cardiac failure,NSW,1.7,2022-23,NSW,Hospitals,1607.0,945294.1176470588
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,18.0,13846.153846153846
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,119.0,91538.46153846153
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,121.0,93076.92307692308
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,360.0,276923.07692307694
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,74.0,56923.07692307692
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,51.0,39230.76923076923
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,0.0,0.0
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,13.0,10000.0
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,1118.0,860000.0
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,18.0,13846.153846153846
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,53.0,40769.230769230766
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,4.0,3076.9230769230767
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,65.0,50000.0
Diabetes complications,NSW,1.3,2022-23,NSW,Hospitals,1607.0,1236153.846153846
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,18.0,60000.0
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,119.0,396666.6666666667
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,121.0,403333.3333333334
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,360.0,1200000.0
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,74.0,246666.6666666667
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,51.0,170000.0
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,0.0,0.0
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,13.0,43333.333333333336
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,1118.0,3726666.666666667
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,18.0,60000.0
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,53.0,176666.6666666667
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,4.0,13333.333333333334
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,65.0,216666.6666666667
Hypertension,NSW,0.3,2022-23,NSW,Hospitals,1607.0,5356666.666666667
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,18.0,11250.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,119.0,74375.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,121.0,75625.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,360.0,225000.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,74.0,46250.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,51.0,31875.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,0.0,0.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,13.0,8125.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,1118.0,698750.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,18.0,11250.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,53.0,33125.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,4.0,2500.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,65.0,40625.0
Iron deficiency anaemia,NSW,1.6,2022-23,NSW,Hospitals,1607.0,1004375.0
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,18.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,119.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,121.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,360.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,74.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,51.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,0.0,
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,13.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,1118.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,18.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,53.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,4.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,65.0,inf
Nutritional deficiencies,NSW,0.0,2022-23,NSW,Hospitals,1607.0,inf
Rheumatic heart disease(d),NSW,0.1,2022-23,NSW,Hospitals,18.0,180000.0
Rheumatic heart disease(d),NSW,0.1,2022-23,NSW,Hospitals,119.0,1190000.0
Rheumatic heart disease(d),NSW,0.1,2022-23,NSW,Hospitals,121.0,1210000.0
Rheumatic heart disease(d),NSW,0.1,2022-23,NSW,Hospitals,360.0,3600000.0
Rheumatic heart disease(d),NSW,0.1,2022-23,NSW,Hospitals,74.0,740000.0
Rheumatic heart disease(d),NSW,0.1,2022-23,NSW,Hospitals,51.0,510000.0
