,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2012-13,ACT,Primary health care,Community health and other,Australian Government,Premium rebates,"3,470","4,314",0,0
2012-13,ACT,Primary health care,Community health and other,Non-government,Health Insurance Funds,"7,992","9,937",0,0
2012-13,ACT,Primary health care,Community health and other,Non-government,Other sources of fund,"2,61,101","3,24,624",1,1
2012-13,ACT,Primary health care,Community health and other,State and local government,State and local government,"17,31,31,206","21,52,51,828",456,567
2012-13,ACT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"-21,63,370","-24,41,694",-6,-6
2012-13,ACT,Primary health care,Dental services,Australian Government,DoHAC and other,"56,03,305","63,24,187",15,17
2012-13,ACT,Primary health care,Dental services,Australian Government,Premium rebates,"1,05,87,224","1,19,49,302",28,31
2012-13,ACT,Primary health care,Dental services,Non-government,Health Insurance Funds,"2,43,85,793","2,75,23,097",64,72
2012-13,ACT,Primary health care,Dental services,Non-government,Individuals,"10,71,56,132","12,09,42,086",282,318
2012-13,ACT,Primary health care,Dental services,Non-government,Other sources of fund,"6,30,469","7,11,581",2,2
2012-13,ACT,Primary health care,Dental services,State and local government,State and local government,"1,02,46,593","1,15,64,847",27,30
2012-13,ACT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"1,20,87,693","1,63,32,925",32,43
2012-13,ACT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"1,55,73,768","2,10,43,320",41,55
2012-13,ACT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"42,41,141","57,30,641",11,15
2012-13,ACT,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"97,68,715","1,31,99,515",26,35
2012-13,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"5,18,48,643","7,00,58,035",137,184
2012-13,ACT,Primary health care,Other health practitioners,Non-government,Other sources of fund,"1,01,82,718","1,37,58,917",27,36
2012-13,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"17,30,716","23,38,548",5,6
2012-13,ACT,Primary health care,Public health,Australian Government,DoHAC and other,"1,64,26,881","2,02,25,349",43,53
2012-13,ACT,Primary health care,Public health,State and local government,State and local government,"2,95,91,391","3,64,33,954",78,96
2012-13,ACT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"1,21,66,233","1,47,16,740",32,39
2012-13,ACT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"10,59,36,564","12,81,44,919",279,337
2012-13,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"2,48,47,407","3,00,56,374",65,79
2012-13,ACT,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"1,05,53,495","1,27,65,911",28,34
2012-13,ACT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"3,44,80,779","4,17,09,269",91,110
2012-13,ACT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"13,97,75,441","16,90,77,719",368,445
2012-13,ACT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"55,70,769","67,38,615",15,18
2012-13,ACT,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"1,28,31,278","1,55,21,205",34,41
2012-13,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"6,16,24,041","7,45,42,797",162,196
2012-13,ACT,Research,Research,Australian Government,Department of Veterans' Affairs,"10,65,000","13,24,101",3,3
2012-13,ACT,Research,Research,Australian Government,DoHAC and other,"9,33,89,357","11,61,09,801",246,306
2012-13,ACT,Research,Research,Non-government,Individuals,"23,209","28,855",0,0
2012-13,ACT,Research,Research,Non-government,Other sources of fund,"44,84,732","55,75,810",12,15
2012-13,ACT,Research,Research,State and local government,State and local government,"1,22,83,974","1,52,72,509",32,40
2012-13,NSW,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,94,32,526","2,25,31,695",3,3
2012-13,NSW,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"1,46,82,93,227","2,01,02,11,002",200,273
2012-13,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,57,30,00,000","2,03,83,44,901",214,277
2012-13,NSW,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"22,84,24,461","28,86,61,767",31,39
2012-13,NSW,Hospitals,Private hospitals,Australian Government,DoHAC and other,"8,72,08,586","11,02,06,167",12,15
2012-13,NSW,Hospitals,Private hospitals,Australian Government,Premium rebates,"77,49,85,529","97,93,55,235",105,133
2012-13,NSW,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"1,78,50,27,655","2,25,57,53,318",243,307
2012-13,NSW,Hospitals,Private hospitals,Non-government,Individuals,"25,22,00,818","31,87,08,133",34,43
2012-13,NSW,Hospitals,Private hospitals,Non-government,Other sources of fund,"27,46,20,236","34,70,39,727",37,47
2012-13,NSW,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"36,03,73,329","45,54,06,576",49,62
2012-13,NSW,Hospitals,Public hospital services,Australian Government,DoHAC and other,"4,73,78,33,027","5,98,72,36,410",644,814
2012-13,NSW,Hospitals,Public hospital services,Australian Government,Premium rebates,"14,89,75,454","18,82,61,439",20,26
2012-13,NSW,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"34,31,35,834","43,36,23,420",47,59
2012-13,NSW,Hospitals,Public hospital services,Non-government,Individuals,"27,98,43,986","35,36,41,020",38,48
2012-13,NSW,Hospitals,Public hospital services,Non-government,Other sources of fund,"73,58,47,525","92,98,96,235",100,126
2012-13,NSW,Hospitals,Public hospital services,State and local government,State and local government,"7,29,04,11,362","9,21,29,49,487",991,"1,253"
2012-13,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"16,01,46,000","20,49,50,483",22,28
2012-13,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-16,01,46,000","-20,49,50,483",-22,-28
2012-13,NSW,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NSW,Other services,Administration,Australian Government,DoHAC and other,"37,56,80,255","48,07,85,344",51,65
2012-13,NSW,Other services,Administration,Australian Government,Premium rebates,"14,70,86,355","18,82,37,106",20,26
2012-13,NSW,Other services,Administration,Non-government,Health Insurance Funds,"33,87,87,328","43,35,70,782",46,59
2012-13,NSW,Other services,Administration,State and local government,State and local government,0,0,0,0
2012-13,NSW,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"11,75,000","13,77,629",0,0
2012-13,NSW,Other services,Aids and appliances,Australian Government,DoHAC and other,"14,44,94,913","16,94,13,076",20,23
2012-13,NSW,Other services,Aids and appliances,Australian Government,Premium rebates,"7,90,56,835","9,26,90,194",11,13
2012-13,NSW,Other services,Aids and appliances,Non-government,Health Insurance Funds,"18,20,93,395","21,34,95,420",25,29
2012-13,NSW,Other services,Aids and appliances,Non-government,Individuals,"49,08,74,496","57,55,25,852",67,78
2012-13,NSW,Other services,Aids and appliances,Non-government,Other sources of fund,"36,90,373","43,26,778",1,1
2012-13,NSW,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"8,30,97,000","10,50,10,325",11,14
2012-13,NSW,Other services,Patient transport services,Australian Government,DoHAC and other,"42,94,731","54,27,284",1,1
2012-13,NSW,Other services,Patient transport services,Australian Government,Premium rebates,"5,22,45,369","6,60,22,878",7,9
2012-13,NSW,Other services,Patient transport services,Non-government,Health Insurance Funds,"12,03,37,939","15,20,71,989",16,21
2012-13,NSW,Other services,Patient transport services,Non-government,Individuals,"8,80,25,627","11,12,38,668",12,15
2012-13,NSW,Other services,Patient transport services,Non-government,Other sources of fund,"3,75,68,042","4,74,75,027",5,6
2012-13,NSW,Other services,Patient transport services,State and local government,State and local government,"51,25,25,197","64,76,82,073",70,88
2012-13,NSW,Primary health care,All other medications,Australian Government,DoHAC and other,"16,73,57,891","18,54,21,592",23,25
2012-13,NSW,Primary health care,All other medications,Australian Government,Premium rebates,"85,37,255","94,58,720",1,1
2012-13,NSW,Primary health care,All other medications,Non-government,Health Insurance Funds,"1,96,64,053","2,17,86,484",3,3
2012-13,NSW,Primary health care,All other medications,Non-government,Individuals,"2,93,01,96,807","3,24,64,66,318",398,442
2012-13,NSW,Primary health care,All other medications,Non-government,Other sources of fund,"1,05,68,766","1,17,09,501",1,2
2012-13,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"15,05,85,429","20,64,74,133",20,28
2012-13,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,70,18,06,318","3,70,45,62,382",367,504
2012-13,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"51,06,63,587","70,01,92,720",69,95
2012-13,NSW,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"78,034","99,865",0,0
2012-13,NSW,Primary health care,Community health and other,Australian Government,DoHAC and other,"30,43,34,989","38,94,79,619",41,53
2012-13,NSW,Primary health care,Community health and other,Australian Government,Premium rebates,"1,50,302","1,92,352",0,0
2012-13,NSW,Primary health care,Community health and other,Non-government,Health Insurance Funds,"3,46,193","4,43,048",0,0
2012-13,NSW,Primary health care,Community health and other,Non-government,Individuals,"5,36,79,686","6,86,97,798",7,9
2012-13,NSW,Primary health care,Community health and other,Non-government,Other sources of fund,"13,06,43,114","16,71,93,494",18,23
2012-13,NSW,Primary health care,Community health and other,State and local government,State and local government,"1,55,27,01,057","1,98,71,04,466",211,270
2012-13,NSW,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"3,37,19,686","3,80,57,823",5,5
2012-13,NSW,Primary health care,Dental services,Australian Government,DoHAC and other,"36,82,54,183","41,56,31,172",50,57
2012-13,NSW,Primary health care,Dental services,Australian Government,Premium rebates,"19,06,75,967","21,52,06,994",26,29
2012-13,NSW,Primary health care,Dental services,Non-government,Health Insurance Funds,"43,91,88,267","49,56,91,136",60,67
2012-13,NSW,Primary health care,Dental services,Non-government,Individuals,"1,40,60,04,303","1,58,68,90,912",191,216
2012-13,NSW,Primary health care,Dental services,Non-government,Other sources of fund,"67,16,493","75,80,589",1,1
2012-13,NSW,Primary health care,Dental services,State and local government,State and local government,"15,82,00,623","17,85,53,601",22,24
2012-13,NSW,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"7,09,76,562","9,59,03,733",10,13
2012-13,NSW,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"38,94,01,653","52,61,60,624",53,72
2012-13,NSW,Primary health care,Other health practitioners,Australian Government,Premium rebates,"9,41,55,584","12,72,23,294",13,17
2012-13,NSW,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"21,68,70,687","29,30,36,291",29,40
2012-13,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"74,33,11,952","1,00,43,65,232",101,137
2012-13,NSW,Primary health care,Other health practitioners,Non-government,Other sources of fund,"12,92,56,792","17,46,52,147",18,24
2012-13,NSW,Primary health care,Public health,Australian Government,DoHAC and other,"38,77,52,809","49,00,06,237",53,67
2012-13,NSW,Primary health care,Public health,Non-government,Other sources of fund,"9,19,28,968","11,61,71,351",13,16
2012-13,NSW,Primary health care,Public health,State and local government,State and local government,"16,58,32,741","20,95,64,123",23,28
2012-13,NSW,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,24,02,087","5,06,94,461",6,7
2012-13,NSW,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,53,74,48,438","3,03,36,85,122",345,413
2012-13,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"16,36,04,387","19,55,99,716",22,27
2012-13,NSW,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"61,14,62,468","73,10,43,265",83,99
2012-13,NSW,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"16,85,89,058","20,15,59,216",23,27
2012-13,NSW,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"3,88,04,64,604","4,63,93,48,551",528,631
2012-13,NSW,Referred medical services,Referred medical services,Australian Government,Premium rebates,"16,03,91,793","19,17,58,850",22,26
2012-13,NSW,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"36,94,34,044","44,16,82,497",50,60
2012-13,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"96,01,65,993","1,14,79,41,074",131,156
2012-13,NSW,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NSW,Research,Research,Australian Government,DoHAC and other,"1,25,32,14,791","1,60,38,30,110",170,218
2012-13,NSW,Research,Research,Non-government,Other sources of fund,"11,10,33,982","14,20,98,261",15,19
2012-13,NSW,Research,Research,State and local government,State and local government,"8,71,36,817","11,15,15,322",12,15
2012-13,NT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"39,03,114","41,51,013",16,17
2012-13,NT,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"4,92,01,890","6,40,98,836",206,269
2012-13,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"10,00,00,000","12,45,81,594",419,522
2012-13,NT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"17,14,208","21,88,412",7,9
2012-13,NT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"1,99,443","2,54,615",1,1
2012-13,NT,Hospitals,Private hospitals,Australian Government,Premium rebates,"1,20,21,479","1,53,46,997",50,64
2012-13,NT,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"2,76,89,127","3,53,48,808",116,148
2012-13,NT,Hospitals,Private hospitals,Non-government,Individuals,"2,71,78,958","3,46,97,510",114,145
2012-13,NT,Hospitals,Private hospitals,Non-government,Other sources of fund,"56,26,226","71,82,616",24,30
2012-13,NT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"22,67,216","28,94,399",9,12
2012-13,NT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"17,33,32,851","22,12,82,155",726,927
2012-13,NT,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,67,042","5,96,241",2,2
2012-13,NT,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"10,75,741","13,73,324",5,6
2012-13,NT,Hospitals,Public hospital services,Non-government,Individuals,"63,66,036","81,27,081",27,34
2012-13,NT,Hospitals,Public hospital services,Non-government,Other sources of fund,"1,15,41,569","1,47,34,329",48,62
2012-13,NT,Hospitals,Public hospital services,State and local government,State and local government,"51,52,49,541","65,77,83,725","2,158","2,755"
2012-13,NT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"18,48,000","23,95,136",8,10
2012-13,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-18,48,000","-23,95,136",-8,-10
2012-13,NT,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NT,Other services,Administration,Australian Government,DoHAC and other,"1,36,77,440","1,77,26,910",57,74
2012-13,NT,Other services,Administration,Australian Government,Premium rebates,"23,11,320","29,95,631",10,13
2012-13,NT,Other services,Administration,Non-government,Health Insurance Funds,"53,23,715","68,99,904",22,29
2012-13,NT,Other services,Administration,Non-government,Individuals,"-38,413","-49,786",0,0
2012-13,NT,Other services,Administration,Non-government,Other sources of fund,"1,80,455","2,33,883",1,1
2012-13,NT,Other services,Administration,State and local government,State and local government,"38,413","49,786",0,0
2012-13,NT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NT,Other services,Aids and appliances,Australian Government,DoHAC and other,"36,21,165","42,45,636",15,18
2012-13,NT,Other services,Aids and appliances,Australian Government,Premium rebates,"17,12,309","20,07,597",7,8
2012-13,NT,Other services,Aids and appliances,Non-government,Health Insurance Funds,"39,44,000","46,24,144",17,19
2012-13,NT,Other services,Aids and appliances,Non-government,Individuals,"1,58,91,768","1,86,32,305",67,78
2012-13,NT,Other services,Aids and appliances,Non-government,Other sources of fund,"10,94,682","12,83,460",5,5
2012-13,NT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NT,Other services,Patient transport services,Australian Government,DoHAC and other,"1,11,61,038","1,42,48,531",47,60
2012-13,NT,Other services,Patient transport services,Australian Government,Premium rebates,"2,38,396","3,04,344",1,1
2012-13,NT,Other services,Patient transport services,Non-government,Health Insurance Funds,"5,49,104","7,01,003",2,3
2012-13,NT,Other services,Patient transport services,Non-government,Individuals,"5,13,829","6,55,971",2,3
2012-13,NT,Other services,Patient transport services,Non-government,Other sources of fund,"9,31,568","11,89,269",4,5
2012-13,NT,Other services,Patient transport services,State and local government,State and local government,"5,50,36,740","7,02,61,629",231,294
2012-13,NT,Primary health care,All other medications,Australian Government,DoHAC and other,"62,45,263","70,44,185",26,30
2012-13,NT,Primary health care,All other medications,Australian Government,Premium rebates,"97,568","1,10,049",0,0
2012-13,NT,Primary health care,All other medications,Non-government,Health Insurance Funds,"2,24,731","2,53,479",1,1
2012-13,NT,Primary health care,All other medications,Non-government,Individuals,"3,65,58,554","4,12,35,288",153,173
2012-13,NT,Primary health care,All other medications,Non-government,Other sources of fund,"4,03,170","4,54,746",2,2
2012-13,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"7,03,116","9,64,072",3,4
2012-13,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"5,07,55,430","6,95,92,944",213,292
2012-13,NT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"75,74,625","1,03,85,892",32,44
2012-13,NT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NT,Primary health care,Community health and other,Australian Government,DoHAC and other,"19,00,66,437","24,63,39,275",796,"1,032"
2012-13,NT,Primary health care,Community health and other,Australian Government,Premium rebates,"1,349","1,748",0,0
2012-13,NT,Primary health care,Community health and other,Non-government,Health Insurance Funds,"3,107","4,026",0,0
2012-13,NT,Primary health care,Community health and other,Non-government,Individuals,"3,51,080","4,55,024",1,2
2012-13,NT,Primary health care,Community health and other,Non-government,Other sources of fund,"6,69,760","8,68,055",3,4
2012-13,NT,Primary health care,Community health and other,State and local government,State and local government,"30,30,56,543","39,27,82,282","1,269","1,645"
2012-13,NT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,60,521","2,94,038",1,1
2012-13,NT,Primary health care,Dental services,Australian Government,DoHAC and other,"32,11,897","36,25,117",13,15
2012-13,NT,Primary health care,Dental services,Australian Government,Premium rebates,"36,36,542","41,04,394",15,17
2012-13,NT,Primary health care,Dental services,Non-government,Health Insurance Funds,"83,76,129","94,53,743",35,40
2012-13,NT,Primary health care,Dental services,Non-government,Individuals,"6,63,99,273","7,49,41,736",278,314
2012-13,NT,Primary health care,Dental services,Non-government,Other sources of fund,"1,33,250","1,50,393",1,1
2012-13,NT,Primary health care,Dental services,State and local government,State and local government,"93,14,954","1,05,13,351",39,44
2012-13,NT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"5,68,465","7,68,111",2,3
2012-13,NT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"63,76,000","86,15,270",27,36
2012-13,NT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"18,09,174","24,44,562",8,10
2012-13,NT,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"41,67,112","56,30,614",17,24
2012-13,NT,Primary health care,Other health practitioners,Non-government,Individuals,"2,86,24,536","3,86,77,555",120,162
2012-13,NT,Primary health care,Other health practitioners,Non-government,Other sources of fund,"76,43,123","1,03,27,409",32,43
2012-13,NT,Primary health care,Other health practitioners,State and local government,State and local government,"62,40,180","84,31,749",26,35
2012-13,NT,Primary health care,Public health,Australian Government,DoHAC and other,"2,58,91,458","3,30,53,848",108,138
2012-13,NT,Primary health care,Public health,Non-government,Individuals,-904,"-1,154",0,0
2012-13,NT,Primary health care,Public health,Non-government,Other sources of fund,"7,37,358","9,41,335",3,4
2012-13,NT,Primary health care,Public health,State and local government,State and local government,"9,11,64,852","11,63,83,910",382,488
2012-13,NT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,77,884","5,55,508",2,2
2012-13,NT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"6,33,26,683","7,36,13,050",265,308
2012-13,NT,Primary health care,Unreferred medical services,Non-government,Individuals,"67,31,786","78,25,253",28,33
2012-13,NT,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"1,52,22,451","1,76,95,085",64,74
2012-13,NT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"25,83,578","30,03,238",11,13
2012-13,NT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"5,82,80,787","6,77,47,532",244,284
2012-13,NT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"22,28,527","25,90,514",9,11
2012-13,NT,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"51,33,016","59,66,789",22,25
2012-13,NT,Referred medical services,Referred medical services,Non-government,Individuals,"1,26,25,483","1,46,76,282",53,61
2012-13,NT,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2012-13,NT,Research,Research,Australian Government,DoHAC and other,"1,50,48,023","1,95,03,281",63,82
2012-13,NT,Research,Research,Non-government,Individuals,"30,678","39,761",0,0
2012-13,NT,Research,Research,Non-government,Other sources of fund,"14,63,445","18,96,726",6,8
2012-13,NT,Research,Research,State and local government,State and local government,"1,20,17,672","1,55,75,736",50,65
2012-13,Qld,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,44,49,827","1,68,37,299",3,4
2012-13,Qld,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"38,95,22,359","54,66,10,370",84,119
2012-13,Qld,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,53,20,00,000","1,97,01,60,432",332,427
2012-13,Qld,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"31,25,59,655","39,95,25,099",68,87
2012-13,Qld,Hospitals,Private hospitals,Australian Government,DoHAC and other,"7,00,09,760","8,94,89,016",15,19
2012-13,Qld,Hospitals,Private hospitals,Australian Government,Premium rebates,"56,10,40,857","71,71,42,791",122,156
2012-13,Qld,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"1,29,22,47,929","1,65,17,98,216",280,358
