treatment_name,state,year,avg_cost,avg_outcome,n_cases,cost_per_outcome
Angioplasty,QLD,2021,16457.134967013673,0.8400917210497465,20,19589.688309806774
Angioplasty,NT,2021,15675.566154117349,0.7983926563451219,13,19633.90573490102
Angioplasty,NSW,2023,16831.99872312873,0.8549992758556992,19,19686.564887769
Angioplasty,ACT,2021,17291.600150326394,0.8781253492554125,19,19691.494118679566
Angioplasty,SA,2023,16592.55727583173,0.8386626428366268,16,19784.5431861736
Angioplasty,WA,2023,16405.018473712178,0.8290926772989553,16,19786.71253876825
Angioplasty,SA,2021,16648.75738271823,0.8413880922188638,17,19787.251016130995
Angioplasty,NSW,2021,16858.417228504353,0.85144680353898,24,19799.730480440474
Angioplasty,WA,2022,17046.371499974917,0.858450942446006,11,19857.129460891803
Angioplasty,NSW,2022,17088.984304469417,0.8605043655131532,12,19859.26508842122
Angioplasty,NSW,2019,17166.867065577808,0.8596965669069183,20,19968.518808144214
Angioplasty,ACT,2024,17530.717621736843,0.874734594676224,14,20041.184752988644
Angioplasty,NT,2018,16249.733562902731,0.8076563462593601,20,20119.613543759002
Angioplasty,NT,2020,16255.633680313147,0.8054481556159353,15,20182.09808660159
Angioplasty,ACT,2023,17598.364181834717,0.8664872282324194,18,20310.00989793502
Angioplasty,NSW,2024,17442.432266038722,0.853939493597587,16,20425.840936990724
Angioplasty,WA,2020,16978.493690717267,0.8274454803884135,17,20519.169048753938
Angioplasty,WA,2019,17345.85798988064,0.8236327172937564,15,21060.185718307344
Angioplasty,ACT,2018,18666.795591516475,0.8758559888335646,14,21312.63110545865
Appendectomy,TAS,2018,7920.978537614993,0.903776352639374,29,8764.312669260149
Appendectomy,TAS,2024,8301.206973837909,0.9239922696149759,13,8984.065394071955
Appendectomy,VIC,2024,8530.591119280914,0.9254865762073049,22,9217.41204960503
Appendectomy,SA,2023,8769.765203561685,0.9453671471355936,22,9276.570727186314
Appendectomy,QLD,2019,8664.879691755,0.9232847348881366,15,9384.840195375722
Appendectomy,SA,2024,8626.03179571571,0.918722239746122,11,9389.161840796856
Appendectomy,SA,2019,8542.130230739955,0.9066088117783601,24,9422.068393515969
Appendectomy,SA,2018,8716.71414066561,0.9231150144529385,21,9442.717325783458
Appendectomy,TAS,2023,8638.499262342017,0.9145714812145058,23,9445.406334855878
Appendectomy,TAS,2020,8499.35361817464,0.8873357404795715,23,9578.509272692048
Appendectomy,NT,2021,8455.325594292153,0.8826335936092067,21,9579.655312820349
Appendectomy,ACT,2023,9108.281854588253,0.9503865004683907,17,9583.766025821396
Appendectomy,NT,2024,8466.492568989743,0.8786127448228046,22,9636.205050379998
Appendectomy,WA,2020,8950.037649817048,0.928294855481975,14,9641.37374775189
Appendectomy,ACT,2020,9204.243761854004,0.9544620792179757,21,9643.383390773748
Appendectomy,NT,2022,8657.874876162414,0.8965184269694566,20,9657.219099699976
Appendectomy,NSW,2023,8951.404177982831,0.9250085126714103,21,9677.104648617033
Appendectomy,QLD,2018,8923.074001587001,0.9218136564452613,16,9679.910835771901
Appendectomy,VIC,2018,9147.359093452962,0.9442452746597658,15,9687.481991105515
Appendectomy,VIC,2022,9004.981915072263,0.9274832148085211,18,9709.051087173952
Appendectomy,NT,2019,8540.506466195406,0.8779312495887029,25,9727.990056392797
Appendectomy,SA,2022,8996.943763384317,0.9236144057165466,16,9741.017147090104
Appendectomy,VIC,2023,9274.33348016091,0.9514313625186496,24,9747.769356277782
Appendectomy,WA,2021,9038.377503783697,0.9246109031207599,16,9775.330869749898
Appendectomy,TAS,2022,8594.584955762874,0.8773901916132618,18,9795.624612534095
Appendectomy,NSW,2019,9167.643974201092,0.935833353991798,15,9796.235553153238
Appendectomy,VIC,2020,9117.957122410593,0.9299923733688995,19,9804.335372537274
Appendectomy,QLD,2022,9015.195642675515,0.9186232680067122,23,9813.811555456532
Appendectomy,SA,2021,9087.209869402448,0.9256201725440566,22,9817.428507879593
Appendectomy,QLD,2024,9013.525516096783,0.9161122617504877,14,9838.887538601362
Appendectomy,NT,2020,8544.675924505913,0.8680391007477691,12,9843.653260717327
Appendectomy,WA,2022,9140.069674369108,0.9232461344051515,22,9899.927369052095
Appendectomy,WA,2019,9108.953253835636,0.9185593030102548,18,9916.565238612518
Appendectomy,WA,2023,9084.609357887046,0.9086374083847805,12,9998.057832591445
Appendectomy,TAS,2019,9193.965753739145,0.9187063438623363,15,10007.513080933744
Appendectomy,ACT,2024,9545.232571518218,0.9508956521298093,22,10038.149349130868
Appendectomy,QLD,2023,9161.905424193163,0.9114072494464889,16,10052.482498638587
Appendectomy,QLD,2020,9324.703318489159,0.9223773066529362,10,10109.424040717184
Appendectomy,VIC,2019,9325.443886851286,0.9217702955905973,16,10116.88479381545
Appendectomy,VIC,2021,9500.362725732404,0.9379451235839641,15,10128.911049114207
Appendectomy,WA,2024,9482.609285428061,0.9340630544688631,20,10152.001238096462
Appendectomy,ACT,2019,9754.84429209313,0.9553298288116331,22,10210.970073265176
Appendectomy,NSW,2020,9582.27172626047,0.9329185702949199,14,10271.284152089784
Appendectomy,NT,2018,8949.212228595426,0.8707710868358902,15,10277.341960346967
