eSituation_09,DiagnosisCodeDescr
C25,Malignant neoplasm of pancreas
C25.9,"Malignant neoplasm of pancreas, unspecified"
C32.9,"Malignant neoplasm of larynx, unspecified"
C34.9,Malignant neoplasm of unspecified part of bronchus or lung
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C41.2,Malignant neoplasm of vertebral column
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified"
C43.9,"Malignant melanoma of skin, unspecified"
C44.91,"Basal cell carcinoma of skin, unspecified"
C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C53.9,"Malignant neoplasm of cervix uteri, unspecified"
C55,"Malignant neoplasm of uterus, part unspecified"
C56.9,Malignant neoplasm of unspecified ovary
C61,Malignant neoplasm of prostate
C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis"
C67.9,"Malignant neoplasm of bladder, unspecified"
C71,Malignant neoplasm of brain
C71.9,"Malignant neoplasm of brain, unspecified"
C72.0,Malignant neoplasm of spinal cord
C73,Malignant neoplasm of thyroid gland
C74.90,Malignant neoplasm of unspecified part of unspecified adrenal gland
C76.2,Malignant neoplasm of abdomen
C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified"
C79.2,Secondary malignant neoplasm of skin
C79.31,Secondary malignant neoplasm of brain
C79.81,Secondary malignant neoplasm of breast
C79.9,Secondary malignant neoplasm of unspecified site
C7A.093,Malignant carcinoid tumor of the kidney
C80.0,"Disseminated malignant neoplasm, unspecified"
C80.1,"Malignant (primary) neoplasm, unspecified"
C85.80,"Other specified types of non-Hodgkin lymphoma, unspecified site"
C85.9,"Non-Hodgkin lymphoma, unspecified"
C90.00,Multiple myeloma not having achieved remission
C91.30,Prolymphocytic leukemia of B-cell type not having achieved remission
C95,Leukemia of unspecified cell type
C95.90,"Leukemia, unspecified not having achieved remission"
D01.0,Carcinoma in situ of colon
D02.3,Carcinoma in situ of other parts of respiratory system
D04,Carcinoma in situ of skin
D05,Carcinoma in situ of breast
D09.0,Carcinoma in situ of bladder
D09.9,"Carcinoma in situ, unspecified"
D10.3,Benign neoplasm of other and unspecified parts of mouth
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D12.8,Benign neoplasm of rectum
D21.0,"Benign neoplasm of connective and other soft tissue of head, face and neck"
D22,Melanocytic nevi
D23,Other benign neoplasms of skin
D24,Benign neoplasm of breast
D25,Leiomyoma of uterus
D26,Other benign neoplasms of uterus
D27,Benign neoplasm of ovary
D28,Benign neoplasm of other and unspecified female genital organs
D30,Benign neoplasm of urinary organs
D32,Benign neoplasm of meninges
D40,Neoplasm of uncertain behavior of male genital organs
D40.0,Neoplasm of uncertain behavior of prostate
D42,Neoplasm of uncertain behavior of meninges
D43,Neoplasm of uncertain behavior of brain and central nervous system
D46,Myelodysplastic syndromes
D47,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D48.7,Neoplasm of uncertain behavior of other specified sites
D49,Neoplasms of unspecified behavior
D49.6,Neoplasm of unspecified behavior of brain
D49.89,Neoplasm of unspecified behavior of other specified sites
D49.9,Neoplasm of unspecified behavior of unspecified site
D50.0,Iron deficiency anemia secondary to blood loss (chronic)
D50.9,"Iron deficiency anemia, unspecified"
D56.4,Hereditary persistence of fetal hemoglobin [HPFH]
D57,Sickle-cell disorders
D57.0,Hb-SS disease with crisis
D57.00,"Hb-SS disease with crisis, unspecified"
D57.1,Sickle-cell disease without crisis
D57.21,Sickle-cell/Hb-C disease with crisis
D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified"
D57.4,Sickle-cell thalassemia
D57.418,"Sickle-cell thalassemia, unspecified, with crisis with other specified complication"
D57.419,"Sickle-cell thalassemia, unspecified, with crisis"
D57.8,Other sickle-cell disorders
D57.80,Other sickle-cell disorders without crisis
D57.81,Other sickle-cell disorders with crisis
D57.819,"Other sickle-cell disorders with crisis, unspecified"
D58.2,Other hemoglobinopathies
D59,Acquired hemolytic anemia
D59.9,"Acquired hemolytic anemia, unspecified"
D61.818,Other pancytopenia
D63,Anemia in chronic diseases classified elsewhere
D63.1,Anemia in chronic kidney disease
D64.8,Other specified anemias
D64.9,"Anemia, unspecified"
D68.31,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D68.311,Acquired hemophilia
D69,Purpura and other hemorrhagic conditions
D69.0,Allergic purpura
D69.1,Qualitative platelet defects
D69.6,"Thrombocytopenia, unspecified"
D69.8,Other specified hemorrhagic conditions
D69.9,"Hemorrhagic condition, unspecified"
D70.1,Agranulocytosis secondary to cancer chemotherapy
D72,Other disorders of white blood cells
D72.81,Decreased white blood cell count
D72.82,Elevated white blood cell count
D72.828,Other elevated white blood cell count
D72.829,"Elevated white blood cell count, unspecified"
D72.89,Other specified disorders of white blood cells
D74.9,"Methemoglobinemia, unspecified"
D75.82,Heparin induced thrombocytopenia (HIT)
D75.9,"Disease of blood and blood-forming organs, unspecified"
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
D80.8,Other immunodeficiencies with predominantly antibody defects
E03,Other hypothyroidism
E03.9,"Hypothyroidism, unspecified"
E05,Thyrotoxicosis [hyperthyroidism]
E06.0,Acute thyroiditis
E07.9,"Disorder of thyroid, unspecified"
E08,Diabetes mellitus due to underlying condition
E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E08.1,Diabetes mellitus due to underlying condition with ketoacidosis
E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma
E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy
E08.52,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
E08.64,Diabetes mellitus due to underlying condition with hypoglycemia
E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma
E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma
E08.65,Diabetes mellitus due to underlying condition with hyperglycemia
E08.8,Diabetes mellitus due to underlying condition with unspecified complications
E08.9,Diabetes mellitus due to underlying condition without complications
E09.3593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
E09.64,Drug or chemical induced diabetes mellitus with hypoglycemia
E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma
E09.65,Drug or chemical induced diabetes mellitus with hyperglycemia
E10,Type 1 diabetes mellitus
E10.1,Type 1 diabetes mellitus with ketoacidosis
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma
E10.21,Type 1 diabetes mellitus with diabetic nephropathy
E10.64,Type 1 diabetes mellitus with hypoglycemia
E10.641,Type 1 diabetes mellitus with hypoglycemia with coma
E10.649,Type 1 diabetes mellitus with hypoglycemia without coma
E10.65,Type 1 diabetes mellitus with hyperglycemia
E10.69,Type 1 diabetes mellitus with other specified complication
E10.8,Type 1 diabetes mellitus with unspecified complications
E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E11.1,Type 2 diabetes mellitus with ketoacidosis
E11.10,Type 2 diabetes mellitus with ketoacidosis without coma
E11.29,Type 2 diabetes mellitus with other diabetic kidney complication
E11.6,Type 2 diabetes mellitus with other specified complications
E11.64,Type 2 diabetes mellitus with hypoglycemia
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma
E11.649,Type 2 diabetes mellitus with hypoglycemia without coma
E11.65,Type 2 diabetes mellitus with hyperglycemia
E11.69,Type 2 diabetes mellitus with other specified complication
E11.8,Type 2 diabetes mellitus with unspecified complications
E11.9,Type 2 diabetes mellitus without complications
E13,Other specified diabetes mellitus
E13.1,Other specified diabetes mellitus with ketoacidosis
E13.10,Other specified diabetes mellitus with ketoacidosis without coma
E13.40,"Other specified diabetes mellitus with diabetic neuropathy, unspecified"
E13.42,Other specified diabetes mellitus with diabetic polyneuropathy
E13.64,Other specified diabetes mellitus with hypoglycemia
E13.641,Other specified diabetes mellitus with hypoglycemia with coma
E13.649,Other specified diabetes mellitus with hypoglycemia without coma
E13.65,Other specified diabetes mellitus with hyperglycemia
E13.8,Other specified diabetes mellitus with unspecified complications
E16.0,Drug-induced hypoglycemia without coma
E16.1,Other hypoglycemia
E16.2,"Hypoglycemia, unspecified"
E23.2,Diabetes insipidus
E27.2,Addisonian crisis
E27.40,Unspecified adrenocortical insufficiency
E34.9,"Endocrine disorder, unspecified"
E44.0,Moderate protein-calorie malnutrition
E46,Unspecified protein-calorie malnutrition
E61.2,Magnesium deficiency
E64.0,Sequelae of protein-calorie malnutrition
E66,Overweight and obesity
E66.01,Morbid (severe) obesity due to excess calories
E66.2,Morbid (severe) obesity with alveolar hypoventilation
E66.3,Overweight
E66.9,"Obesity, unspecified"
E71.32,Disorders of ketone metabolism
E72.51,Non-ketotic hyperglycinemia
E78.5,"Hyperlipidemia, unspecified"
E83.42,Hypomagnesemia
E83.50,Unspecified disorder of calcium metabolism
E83.51,Hypocalcemia
E83.52,Hypercalcemia
E84.9,"Cystic fibrosis, unspecified"
E86.0,Dehydration
E86.1,Hypovolemia
E86.9,"Volume depletion, unspecified"
E87.0,Hyperosmolality and hypernatremia
E87.1,Hypo-osmolality and hyponatremia
E87.2,Acidosis
E87.3,Alkalosis
E87.5,Hyperkalemia
E87.6,Hypokalemia
E87.7,Fluid overload
E87.70,"Fluid overload, unspecified"
E87.79,Other fluid overload
E87.8,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E88.89,Other specified metabolic disorders
E88.9,"Metabolic disorder, unspecified"
F01.50,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02,Dementia in other diseases classified elsewhere
F02.8,"Dementia in other diseases classified elsewhere, unspecified severity"
F02.80,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02.81,"Dementia in other diseases classified elsewhere, unspecified severity, with behavioral disturbance"
F03,Unspecified dementia
F03.9,"Unspecified dementia, unspecified severity"
F03.90,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03.91,"Unspecified dementia, unspecified severity, with behavioral disturbance"
F05,Delirium due to known physiological condition
F06,Other mental disorders due to known physiological condition
F06.0,Psychotic disorder with hallucinations due to known physiological condition
F06.1,Catatonic disorder due to known physiological condition
F06.2,Psychotic disorder with delusions due to known physiological condition
F06.4,Anxiety disorder due to known physiological condition
F06.8,Other specified mental disorders due to known physiological condition
F07,Personality and behavioral disorders due to known physiological condition
F07.8,Other personality and behavioral disorders due to known physiological condition
F07.81,Postconcussional syndrome
F07.89,Other personality and behavioral disorders due to known physiological condition
F07.9,Unspecified personality and behavioral disorder due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition
F10,Alcohol related disorders
F10.1,Alcohol abuse
F10.10,"Alcohol abuse, uncomplicated"
F10.12,Alcohol abuse with intoxication
F10.120,"Alcohol abuse with intoxication, uncomplicated"
F10.121,Alcohol abuse with intoxication delirium
F10.129,"Alcohol abuse with intoxication, unspecified"
F10.13,"Alcohol abuse, with withdrawal"
F10.130,"Alcohol abuse with withdrawal, uncomplicated"
F10.131,Alcohol abuse with withdrawal delirium
F10.139,"Alcohol abuse with withdrawal, unspecified"
F10.14,Alcohol abuse with alcohol-induced mood disorder
F10.15,Alcohol abuse with alcohol-induced psychotic disorder
F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions
F10.18,Alcohol abuse with other alcohol-induced disorders
F10.180,Alcohol abuse with alcohol-induced anxiety disorder
F10.188,Alcohol abuse with other alcohol-induced disorder
F10.19,Alcohol abuse with unspecified alcohol-induced disorder
F10.2,Alcohol dependence
F10.20,"Alcohol dependence, uncomplicated"
F10.21,"Alcohol dependence, in remission"
F10.22,Alcohol dependence with intoxication
F10.220,"Alcohol dependence with intoxication, uncomplicated"
F10.221,Alcohol dependence with intoxication delirium
F10.229,"Alcohol dependence with intoxication, unspecified"
F10.23,Alcohol dependence with withdrawal
F10.230,"Alcohol dependence with withdrawal, uncomplicated"
F10.231,Alcohol dependence with withdrawal delirium
F10.232,Alcohol dependence with withdrawal with perceptual disturbance
F10.239,"Alcohol dependence with withdrawal, unspecified"
F10.25,Alcohol dependence with alcohol-induced psychotic disorder
F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
F10.280,Alcohol dependence with alcohol-induced anxiety disorder
F10.9,"Alcohol use, unspecified"
F10.92,"Alcohol use, unspecified with intoxication"
F10.920,"Alcohol use, unspecified with intoxication, uncomplicated"
F10.921,"Alcohol use, unspecified with intoxication delirium"
F10.929,"Alcohol use, unspecified with intoxication, unspecified"
F10.93,"Alcohol use, unspecified with withdrawal"
F10.939,"Alcohol use, unspecified with withdrawal, unspecified"
F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder"
F10.950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
F10.98,"Alcohol use, unspecified with other alcohol-induced disorders"
F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
F10.982,"Alcohol use, unspecified with alcohol-induced sleep disorder"
F10.988,"Alcohol use, unspecified with other alcohol-induced disorder"
F10.99,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
F11,Opioid related disorders
F11.1,Opioid abuse
F11.10,"Opioid abuse, uncomplicated"
F11.12,Opioid abuse with intoxication
F11.120,"Opioid abuse with intoxication, uncomplicated"
F11.129,"Opioid abuse with intoxication, unspecified"
F11.13,Opioid abuse with withdrawal
F11.188,Opioid abuse with other opioid-induced disorder
F11.2,Opioid dependence
F11.20,"Opioid dependence, uncomplicated"
F11.23,Opioid dependence with withdrawal
F11.9,"Opioid use, unspecified"
F11.90,"Opioid use, unspecified, uncomplicated"
F11.92,"Opioid use, unspecified with intoxication"
F11.920,"Opioid use, unspecified with intoxication, uncomplicated"
F11.929,"Opioid use, unspecified with intoxication, unspecified"
F11.93,"Opioid use, unspecified with withdrawal"
F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder"
F12.1,Cannabis abuse
F12.10,"Cannabis abuse, uncomplicated"
F12.12,Cannabis abuse with intoxication
F12.120,"Cannabis abuse with intoxication, uncomplicated"
F12.121,Cannabis abuse with intoxication delirium
F12.129,"Cannabis abuse with intoxication, unspecified"
F12.13,Cannabis abuse with withdrawal
F12.150,Cannabis abuse with psychotic disorder with delusions
F12.180,Cannabis abuse with cannabis-induced anxiety disorder
F12.280,Cannabis dependence with cannabis-induced anxiety disorder
F12.9,"Cannabis use, unspecified"
F12.90,"Cannabis use, unspecified, uncomplicated"
F12.92,"Cannabis use, unspecified with intoxication"
F12.920,"Cannabis use, unspecified with intoxication, uncomplicated"
F12.922,"Cannabis use, unspecified with intoxication with perceptual disturbance"
F12.959,"Cannabis use, unspecified with psychotic disorder, unspecified"
F12.980,"Cannabis use, unspecified with anxiety disorder"
F12.99,"Cannabis use, unspecified with unspecified cannabis-induced disorder"
F13,"Sedative, hypnotic, or anxiolytic related disorders"
F13.1,"Sedative, hypnotic or anxiolytic-related abuse"
F13.10,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
F13.12,"Sedative, hypnotic or anxiolytic abuse with intoxication"
F13.121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
F13.13,"Sedative, hypnotic or anxiolytic abuse with withdrawal"
F13.159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
F13.239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
F13.9,"Sedative, hypnotic or anxiolytic-related use, unspecified"
F13.920,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
F13.99,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F14,Cocaine related disorders
F14.1,Cocaine abuse
F14.10,"Cocaine abuse, uncomplicated"
F14.12,Cocaine abuse with intoxication
F14.120,"Cocaine abuse with intoxication, uncomplicated"
F14.129,"Cocaine abuse with intoxication, unspecified"
F14.13,"Cocaine abuse, unspecified with withdrawal"
F14.180,Cocaine abuse with cocaine-induced anxiety disorder
F14.23,Cocaine dependence with withdrawal
F14.9,"Cocaine use, unspecified"
F14.929,"Cocaine use, unspecified with intoxication, unspecified"
F14.95,"Cocaine use, unspecified with cocaine-induced psychotic disorder"
F14.99,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
F15,Other stimulant related disorders
F15.1,Other stimulant abuse
F15.10,"Other stimulant abuse, uncomplicated"
F15.12,Other stimulant abuse with intoxication
F15.121,Other stimulant abuse with intoxication delirium
F15.129,"Other stimulant abuse with intoxication, unspecified"
F15.150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
F15.180,Other stimulant abuse with stimulant-induced anxiety disorder
F15.23,Other stimulant dependence with withdrawal
F15.92,"Other stimulant use, unspecified with intoxication"
F15.920,"Other stimulant use, unspecified with intoxication, uncomplicated"
F15.929,"Other stimulant use, unspecified with intoxication, unspecified"
F15.93,"Other stimulant use, unspecified with withdrawal"
F15.951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
F16,Hallucinogen related disorders
F16.1,Hallucinogen abuse
F16.10,"Hallucinogen abuse, uncomplicated"
F16.12,Hallucinogen abuse with intoxication
F16.15,Hallucinogen abuse with hallucinogen-induced psychotic disorder
F16.151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
F16.25,Hallucinogen dependence with hallucinogen-induced psychotic disorder
F16.9,"Hallucinogen use, unspecified"
F16.92,"Hallucinogen use, unspecified with intoxication"
F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
F16.99,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
F17.203,"Nicotine dependence unspecified, with withdrawal"
F18,Inhalant related disorders
F18.10,"Inhalant abuse, uncomplicated"
F18.120,"Inhalant abuse with intoxication, uncomplicated"
F18.9,"Inhalant use, unspecified"
F18.92,"Inhalant use, unspecified with intoxication"
F18.929,"Inhalant use, unspecified with intoxication, unspecified"
F18.99,"Inhalant use, unspecified with unspecified inhalant-induced disorder"
F19,Other psychoactive substance related disorders
F19.1,Other psychoactive substance abuse
F19.10,"Other psychoactive substance abuse, uncomplicated"
F19.12,Other psychoactive substance abuse with intoxication
F19.120,"Other psychoactive substance abuse with intoxication, uncomplicated"
F19.121,Other psychoactive substance abuse with intoxication delirium
F19.129,"Other psychoactive substance abuse with intoxication, unspecified"
F19.13,Other psychoactive substance abuse with withdrawal
F19.130,"Other psychoactive substance abuse with withdrawal, uncomplicated"
F19.180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
F19.19,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
F19.2,Other psychoactive substance dependence
F19.20,"Other psychoactive substance dependence, uncomplicated"
F19.221,Other psychoactive substance dependence with intoxication delirium
F19.229,"Other psychoactive substance dependence with intoxication, unspecified"
F19.23,Other psychoactive substance dependence with withdrawal
F19.230,"Other psychoactive substance dependence with withdrawal, uncomplicated"
F19.239,"Other psychoactive substance dependence with withdrawal, unspecified"
F19.251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations
F19.9,"Other psychoactive substance use, unspecified"
F19.92,"Other psychoactive substance use, unspecified with intoxication"
F19.920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated"
F19.929,"Other psychoactive substance use, unspecified with intoxication, unspecified"
F19.93,"Other psychoactive substance use, unspecified with withdrawal"
F19.939,"Other psychoactive substance use, unspecified with withdrawal, unspecified"
F19.94,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
F19.99,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
F20,Schizophrenia
F20.0,Paranoid schizophrenia
F20.1,Disorganized schizophrenia
F20.2,Catatonic schizophrenia
F20.5,Residual schizophrenia
F20.8,Other schizophrenia
F20.89,Other schizophrenia
F20.9,"Schizophrenia, unspecified"
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Shared psychotic disorder
F25,Schizoaffective disorders
F25.0,"Schizoaffective disorder, bipolar type"
F25.9,"Schizoaffective disorder, unspecified"
F28,Other psychotic disorder not due to a substance or known physiological condition
F29,Unspecified psychosis not due to a substance or known physiological condition
F30,Manic episode
F30.1,Manic episode without psychotic symptoms
F30.11,"Manic episode without psychotic symptoms, mild"
F30.12,"Manic episode without psychotic symptoms, moderate"
F30.2,"Manic episode, severe with psychotic symptoms"
F30.8,Other manic episodes
F30.9,"Manic episode, unspecified"
F31,Bipolar disorder
F31.1,"Bipolar disorder, current episode manic without psychotic features"
F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified"
F31.11,"Bipolar disorder, current episode manic without psychotic features, mild"
F31.12,"Bipolar disorder, current episode manic without psychotic features, moderate"
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe"
F31.2,"Bipolar disorder, current episode manic severe with psychotic features"
F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
F31.31,"Bipolar disorder, current episode depressed, mild"
F31.32,"Bipolar disorder, current episode depressed, moderate"
F31.4,"Bipolar disorder, current episode depressed, severe, without psychotic features"
F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features"
F31.6,"Bipolar disorder, current episode mixed"
F31.60,"Bipolar disorder, current episode mixed, unspecified"
F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features"
F31.9,"Bipolar disorder, unspecified"
F32,Depressive episode
F32.0,"Major depressive disorder, single episode, mild"
F32.3,"Major depressive disorder, single episode, severe with psychotic features"
F32.8,Other depressive episodes
F32.89,Other specified depressive episodes
F32.9,"Major depressive disorder, single episode, unspecified"
F32.A,"Depression, unspecified"
F33,"Major depressive disorder, recurrent"
F33.0,"Major depressive disorder, recurrent, mild"
F33.1,"Major depressive disorder, recurrent, moderate"
F33.8,Other recurrent depressive disorders
F33.9,"Major depressive disorder, recurrent, unspecified"
F34.81,Disruptive mood dysregulation disorder
F39,Unspecified mood [affective] disorder
F40,Phobic anxiety disorders
F40.01,Agoraphobia with panic disorder
F40.230,Fear of blood
F40.233,Fear of injury
F40.9,"Phobic anxiety disorder, unspecified"
F41,Other anxiety disorders
F41.0,Panic disorder [episodic paroxysmal anxiety]
F41.1,Generalized anxiety disorder
F41.8,Other specified anxiety disorders
F41.9,"Anxiety disorder, unspecified"
F42,Obsessive-compulsive disorder
F42.2,Mixed obsessional thoughts and acts
F43.0,Acute stress reaction
F43.1,Post-traumatic stress disorder (PTSD)
F43.10,"Post-traumatic stress disorder, unspecified"
F43.11,"Post-traumatic stress disorder, acute"
F43.12,"Post-traumatic stress disorder, chronic"
F43.21,Adjustment disorder with depressed mood
F43.22,Adjustment disorder with anxiety
F43.23,Adjustment disorder with mixed anxiety and depressed mood
F43.25,Adjustment disorder with mixed disturbance of emotions and conduct
F43.8,Other reactions to severe stress
F43.9,"Reaction to severe stress, unspecified"
F44.1,Dissociative fugue
F44.5,Conversion disorder with seizures or convulsions
F44.89,Other dissociative and conversion disorders
F45.4,Pain disorders related to psychological factors
F45.41,Pain disorder exclusively related to psychological factors
F45.42,Pain disorder with related psychological factors
F48,Other nonpsychotic mental disorders
F48.8,Other specified nonpsychotic mental disorders
F48.9,"Nonpsychotic mental disorder, unspecified"
F50.0,Anorexia nervosa
F50.8,Other eating disorders
F50.9,"Eating disorder, unspecified"
F51.02,Adjustment insomnia
F51.4,Sleep terrors [night terrors]
F53.0,Postpartum depression
F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F55,Abuse of non-psychoactive substances
F55.8,Abuse of other non-psychoactive substances
F60.0,Paranoid personality disorder
F60.3,Borderline personality disorder
F60.8,Other specific personality disorders
F63.89,Other impulse disorders
F66,Other sexual disorders
F68,Other disorders of adult personality and behavior
F68.11,"Factitious disorder imposed on self, with predominantly psychological signs and symptoms"
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F79,Unspecified intellectual disabilities
F80.9,"Developmental disorder of speech and language, unspecified"
F84.0,Autistic disorder
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
F91.0,Conduct disorder confined to family context
F91.3,Oppositional defiant disorder
F91.8,Other conduct disorders
F91.9,"Conduct disorder, unspecified"
F93.8,Other childhood emotional disorders
F94.0,Selective mutism
