eProcedures_03,ProcedureCodeDescr
169069000,Computed tomography of chest
169072007,Computed tomography scan - whole body
16912001,Hazardous physical site
169836001,Birth of child
170099002,Child examination - birth
170497006,Isolation because of infection
170499009,Isolation of infection contact
170512001,Control of bedbugs
170516003,Notification of disease
170600009,Stroke monitoring
170677006,Psychiatric disorder monitoring
170753006,Understands diet - diabetes
170798000,Treatment of obesity changed
170988002,Relative counseled
171007003,Counseling for bereavement
17102003,"Nasogastric tube, device"
171397002,Medical examination for suspected condition
172819009,Packing of cavity of nose
173067007,Cricothyroidotomy
173280002,Replantation of tooth
173765009,Attention to gastrostomy tube
17404008,"Cardiac compression board, device"
175097002,Endocardial excision of arrhythmogenic focus
175180005,Decompression of cardiac tamponade
175852005,Flushing of central line
175853000,Removal of central venous line
17636008,Specimen collection
177184002,Normal delivery procedure
179208004,Apply Thomas splint traction
180207008,Intravenous blood transfusion of packed cells
180208003,Intravenous blood transfusion of platelets
180333002,Body temperature modification and control
18038006,Protection of surroundings from individual
180640008,Approach via tracheostomy
18207002,Blood urea nitrogen/creatinine ratio
182524008,Attention to urinary catheter
182525009,Clamping of urinary catheter
182531007,Dressing of wound
18255002,Structure of middle phalanx of third toe
182555002,Application of bandage
182556001,Pelvic sling
182557005,Immobilization by bandaging
182558000,Immobilization by sling
182561004,Immobilization of wound
182605004,Packing for hemorrhage
182656008,General body warming therapy
182660006,Cold therapy
182661005,Local cooling therapy
182682004,Emergency laryngeal intubation
182686001,Endotracheal respiratory assistance
182692007,Nasopharyngeal airway insertion
182705007,Tension pneumothorax relief
182709001,Laryngeal intubation for inhalation
182771004,Informed consent for procedure
182777000,Monitoring of patient
182796001,Intracranial pressure monitoring regime
182803009,Cardiac emergency monitoring
182810003,Intensive care monitoring
182814007,Emergency dressing
182832007,Procedure related to management of drug administration
182833002,Medication given
182878004,Medication increased
182879007,Medication decreased
182970005,Pain relief
183094000,Tender loving care
183189003,Rigid collar
183190007,Flexible collar
183192004,Shoulder abduction brace
183463008,Trauma emergency hospital admission
184085002,Patient moved in area
184300000,Found dead at accident site
184966003,Police request to attend
185004005,Medical report received
185087000,Notifications
185317003,Telephone encounter
185381007,Repeat medication check
18540005,Suction of newborn
185406000,Ambulance request for patient
185467006,Home visit for acute condition
185468001,Home visit for chronic condition
185494005,In-house ultrasound
185685007,Adult immunization - first call
18590009,Cardiac pacing
18629005,Administration of drug or medicament
18649001,Rectal temperature taking
18723003,Demand pacing
1912002,Fall
19227008,Foreign body
19257004,"Defibrillator, device"
19314006,Seal
19328000,"Blanket, device"
19433002,Direct laryngoscopy with foreign body removal
19821003,Carboxyhemoglobin measurement
19861002,Intermittent positive pressure breathing treatment with nebulized medication
199746004,Obstructed labor
20135006,Screening procedure
20568009,"Urinary catheter, device"
20655006,Application of tourniquet
20762007,Application of electric heating pad
21079000,"Carbon monoxide analyzer, device"
21641000175100,Adult not examined
21943005,Hot water bath hydrotherapy
22206003,"Application of dressing, occlusive plastic"
22298006,Myocardial infarction
223438000,Recommendation to discontinue a procedure
223451005,Recommendation to report signs and symptoms
223454002,Assisting with activity
223458004,Informing
223461003,Informing about what is happening
223484005,Discussion about treatment
224887004,Hospital waiting room
224965009,Grief finding
225065004,Flushing of central venous catheter by injection of heparin
225066003,Removal of intravenous cannula
225078004,Checking position of nasogastric tube
225088003,Insertion of indwelling urethral catheter
225113003,Timed urine collection
225116006,Irrigation of wound
225150002,Cleaning wound
225153000,Application of adhesive skin closure
225157004,Intraosseous injection
225158009,Auscultation of the fetal heart
225170008,Applying hemostatic swab
225216003,Acknowledging anxiety
225219005,Verbal communication interventions
225284006,Transfusing whole blood under pressure
225285007,Giving oral fluid
225286008,Alternating the patient's position
225287004,Procedures relating to positioning and support
225288009,Environmental care procedure
225313009,Supervision
225317005,Restriction of movement
225343006,Assessment of needs
225358003,Wound care
225372007,Total parenteral nutrition
225378006,Ongoing assessment of behavior
225390008,Triage
225391007,Injury assessment
225395003,Wound assessment
225398001,Neurological assessment
225399009,Pain assessment
225606002,Abnormal movement
225622001,Breathalyser test
225692006,Applying eye pad and bandage
225696009,Applying eye shield
225697000,Covering eye
225708008,Precordial thump
225711009,Collection of nasal pharyngeal aspirate
225713007,Removal of vomit from airway
225715000,Endotracheal tube suction
225716004,Reposition endotracheal tube
225717008,Check endotracheal tube is secure
225718003,Checking position of endotracheal tube
225885004,Health assessment
225886003,Medical assessment
225994009,Placing patient in comfortable position
225998007,Application of occlusive dressing to pressure injury
226003000,Maintaining patient's safety
226004006,Medical equipment assessment
226005007,Care of central line
226051008,Provision of lift
22633006,"Vaginal delivery, medical personnel present"
2267008,Changing tracheostomy tube
22778000,Venipuncture
228261003,Buckle
228597006,Provision of collar
228603009,Adjusting of splint
228604003,Checking of splint
228615008,Provision of transport
228621007,Provision of environmental control system
229059009,Report
229238007,Moving between two positions
229408004,Mobilization of the spine
229409007,Mobilization of the cervical spine
229548005,Stretch splinting
229571007,Heat pad treatment
229578001,Ice bath treatment
229583009,Chemically-activated ice pack treatment
229585002,Cold pack treatment
229824005,Positioning patient
229914003,Nasogastric feeding
230040009,Airway suction technique
230114001,Central line feeding
230690007,Cerebrovascular accident
230937006,Procedure for monitoring intracranial pressure
231061006,Cerebrospinal fluid collection
231107005,Acupressure
231155005,Common digital nerve block in the hand
231361000,Attention to catheter
23248003,Taking swab for microbiology
232574005,Removal of foreign body from larynx
232613003,Attention to tracheostomy
232663008,Airway procedure
232664002,Manual establishment of airway
232665001,Chin lift
232666000,Jaw thrust
232667009,Airway obtained by head extension
232670008,Nasal laryngoscopy
232673005,Obturator airway insertion
232674004,Orotracheal intubation
232675003,Oral intubation awake
232678001,Orotracheal fiberoptic intubation
232679009,Nasotracheal intubation
232680007,Nasal intubation awake
232681006,Blind nasal intubation
232683009,Cricothyroidotomy tube insertion
232685002,Insertion of tracheostomy tube
232686001,Insertion of tracheal T-tube
232689008,Percutaneous cricothyroidotomy
232690004,Percutaneous dilatational cricothyroidotomy
232692007,Open cricothyroidotomy
232694008,Deflation of tube cuff
232701003,Nasopharyngeal suction
232702005,Orotracheal suction
232703000,Tracheal suction via tracheostomy
232706008,Airway clearance by finger sweep
232707004,Removal of foreign body from airway
232708009,Removal of device from airway
232711005,Removal of airway
232967006,Implantation of left cardiac ventricular assist device
232969009,Cardiac support using extracorporeal membrane oxygenation circuitry
233169004,Automatic defibrillator procedure
233175008,Temporary cardiac pacemaker procedure
233176009,Direct temporary cardiac pacemaker procedure
233178005,Insertion of endocardial electrode for temporary cardiac pacing
233181000,Transthoracic cardiac pacing procedure
233397000,Division of subclavian artery
233419004,Application of direct pressure to artery
233441004,Adjustment of venous stent
233516009,Femoral artery cannula insertion
233519002,Umbilical artery cannula insertion
233520008,Insertion of peripheral venous cannula into peripheral vein
233526002,Insertion of peripheral venous cannula into scalp vein
233527006,Central venous cannula insertion
233533002,Central venous cannula insertion via umbilical vein
233550000,Cannulation of subcutaneous reservoir
233562001,Intra-osseous infusion
233573008,Extracorporeal membrane oxygenation
233645004,Tension pneumothorax
233838001,Acute posterior myocardial infarction
235159007,Percutaneous endoscopic insertion of gastrostomy tube
235422004,Insertion of nasoduodenal tube
235423009,Insertion of nasojejunal tube
235425002,Insertion of orogastric tube
235439002,Removal of orogastric tube
235444009,Attention to gastrointestinal tract tube
235448007,Attention to orogastric tube
23562009,"Household ventilator, device"
236239008,Urethral catheter procedure
23667007,Term pregnancy delivered
23690002,Abdominal thrust
236973005,Delivery procedure
236994008,Placental delivery procedure
236995009,Uterine massage
236996005,Abdominal uterine fundal massage
237623001,Acute hyperglycemia
238150007,Sepsis syndrome
238181003,Procedure on spine
238247000,Umbilical cord procedure
238248005,Umbilical cord clamping
238327005,Chest wall procedure
23852006,Cardiac monitoring
2386002,Reduction of closed patellar dislocation
239516002,Monitoring procedure
239644006,Application of pelvic traction
239655006,Application of skeletal traction to lower limb
239656007,Application of skeletal traction via the femur
239659000,Adjustment of traction system
239693001,Application of triangular sling
239694007,Application of collar and cuff sling
23973005,"Indwelling urinary catheter, device"
24099007,Oxygen
241019003,Packing of wound
241026003,Procedures to drains
241276008,Injection of indwelling catheter
241578008,Computed tomography of cervical spine
241689008,Rapid sequence induction
241695009,Maintenance of general anesthesia
241702005,Induction of neuromuscular blockade
241704006,Induction of sedation
241716000,Patient controlled analgesia
241722009,Application of lubricant to eye
241725006,Preoxygenation
241726007,Application of cricoid pressure
241730005,Tourniquet procedure
241736004,Manual tourniquet application
241737008,Tourniquet release
241740008,Active warming of patient
241741007,Active cooling of patient
241744004,Reduction of heat loss by insulation
242987005,Injury of unknown intent due to motor vehicle crash
243132000,Inhaled drug administration
243140006,Lung inflation by intermittent compression of reservoir bag
243141005,Mechanically assisted spontaneous ventilation
243142003,Dual pressure spontaneous ventilation support
243150007,Assist control ventilation
243153009,High frequency positive pressure ventilation
243161004,Positive end expiratory pressure increased
243162006,Positive end expiratory pressure increased to optimal positive end expiratory pressure
243164007,Positive end expiratory pressure reduced
243179000,Basic life support
243180002,Expired air ventilation
243184006,Ventilation with self-inflating bag
243185007,Advanced life support
243222002,Oral rehydration therapy
243781005,Blood sampling from extracorporeal membrane oxygenation circuit
243788004,Child examination
24456005,Injection of soft tissue
245581009,Emergency examination for triage
245857005,Stoma
246106000,Control
246273001,Patient position
246482009,Gel used
246508008,Temperature
24727006,Temperature gradient studies
248242009,General physical finding
248264000,No complaints
248553004,No obstruction of airway
248753002,Capillary refill
248983002,Obstetric history
24932003,Exposure to (contextual qualifier)
249344003,Variation in patency of nasal airway
249366005,Bleeding from nose
249954005,Movement against gravity
250373003,Blood transfusion finding
250410007,Test temperature
250417005,"Glucose concentration, test strip measurement"
250546000,Measurement of partial pressure of oxygen in blood
250554003,Measurement of oxygen saturation at periphery
250555002,Blood oxygen concentration measurement
250564007,Measurement of partial pressure of carbon dioxide in blood
250568005,Measurement of transcutaneous partial pressure of carbon dioxide
250774007,Inspired oxygen concentration
250779002,Oxygen concentration in equipment
250784008,End tidal carbon dioxide concentration
250788006,Expired carbon dioxide tension
250790007,End tidal carbon dioxide tension
250825003,Ambient temperature
250854009,Positive end expiratory pressure
250863006,Capnograph waveform
250870006,Ventilator finding
250874002,Ventilator delivered tidal volume
250875001,Ventilator delivered minute volume
250876000,Ventilator rate
250882002,Intravenous fluid warmer temperature
250980009,Cardioversion
25104002,Haloperidol measurement
251076008,Non-invasive arterial pressure
251149006,Cardiac rhythm type
251285001,Extracorporeal gas exchange finding
251586001,Pain threshold
251992000,Fluid intake
252090008,Rewarming time (tissue perfusion)
252275004,Hematology test
252398009,Culture - general
252417001,24 Hour electrocardiogram
252465000,Pulse oximetry
25265005,Did not receive therapy or drug for (contextual qualifier)
252663003,Carbon dioxide breath test
2528003,Viremia
252832004,Intraocular pressure test
255407002,Neonatal
255560000,Intravenous
255765007,Fluid
256395009,Platelet product
256401009,Cryoprecipitate
257245000,Yankauer suction catheter
257268009,Laryngeal mask
257279004,Single lumen catheter
257280001,Double lumen catheter
257294000,Thomas splint
257307004,Esophageal obturator airway
257369004,Single lumen tube
257371004,Replogle tube
257381000,Safety equipment
257391006,Head restraint
257393009,Child seat held by adult belt
257462007,Tracheal tube
257467001,Electrocardiogram lead
257883005,Lubrication
257884004,Immobilization - action
258110002,Saline method
258141001,Lifting
258144009,Position change
258150004,Transmission
258181008,Electrocardiogram analysis
258500001,Nasopharyngeal swab
258633000,Swan-Ganz catheter tip
258643002,Chest drain
259268001,Isopropyl alcohol
260317009,Roman numeral IV
260413007,None
260414001,Nothing
260507000,Access
260549005,Orogastric
260617000,Intranasal approach
260915005,Inspiratory/expiratory ratio
260999003,Closed-circuit suction catheter
261039008,Valsalva maneuver
261169004,Posterolateral thoracotomy
261241001,Arterial line
261258006,Extracorporeal membrane oxygenation circuit
26128008,"Bougie, device"
261327007,Bulk carrier
261352009,Face mask
261365000,Hemostatic gauze
261382003,Mask
261492007,Anterolateral thoracotomy
261512006,Cooling of intravenous fluid
261754007,Continuous infusion
262139008,Sensory
262278000,Warming intravenous fluid technique
263536004,Communication
263699000,Cardiac activity
26370007,Medicinal product acting as hemostatic
263703002,Changed status
263720003,Compression - action
263904004,Traumatic
264012001,Gastrogastric
26412008,"Endotracheal tube, device"
264224004,Supraglottic
264598005,Oximetry
264957007,Insertion of pleural tube drain
265548004,Attention to central venous catheter
26604007,Complete blood count
266686005,Procedures relating to splintage and immobilization
266687001,Bandaging and sling support
266694003,Heat therapy
266700009,Assisted breathing
266706003,Continuous electrocardiogram monitoring
266765001,Indwelling catheter inserted
266768004,Indwelling catheter removed
266815003,Intramuscular drug injection
268400002,12 lead electrocardiogram
268445003,Ultrasound scan - obstetric
268565007,Adult health examination
268970009,Central nervous system examination
26906007,"Application of dressing, pressure"
269944001,Nasal swab taken
270115005,Unexpected death-Coroner told
270352002,Medical examinations/reports
27036008,"Bed board, device"
27051004,"pH measurement, arterial"
270982000,Serum lactate measurement
271061004,Random blood glucose measurement
271062006,Fasting blood glucose measurement
271280005,Removal of endotracheal tube
27171005,Urinalysis
271921002,Electrocardiogram finding
271924005,Neurological test finding
272189001,Ventilator equipment
272379006,Event
273288008,Assessment of motor and process skills
273346002,Assessment scales Ca-De
273459009,FIRST screening test
273633002,Motor assessment scale
273749007,Respiratory index
274414006,Laryngoscopy to remove object
274450004,Dislocated shoulder reduction
274456005,Reduction of dislocation of patella
274475000,Pneumatic splinting
274486003,Cervical collar neck traction
274488002,Fracture - traction
274491002,Nasal packing for control of hemorrhage
274504000,Umbilical vessel catheterization
274508002,Postoperative hemorrhage control
274663001,Acute pain
274767007,No abnormality detected on examination of spine
274969000,Anterior tracheostomy
275069007,Maintenance of drainage tube of kidney
27509001,Safety inspection
275641000,Arrange care by others
275810004,BM stix glucose measurement
275931000,Administration of prophylactic aspirin for ischemic heart disease
276021004,Ultrasonography of carotid artery
276272002,Catheter procedure
27638005,Product containing alteplase
276732005,Apneic oxygenation
277337007,Surface landmark technique
277360004,Massive blood transfusion
277381004,Stroke index
277762005,Lumbar puncture
277917001,Thoracic impedance cardiography
277923006,Pulse oximetry waveform
277971006,Extracorporeal circuit equipment
278211009,Printed material
278292003,Ultrasound imaging - action
278296000,Drainage of pleural cavity
278297009,Blood gas analysis
278414003,Pain management
278417005,Control of room temperature
278450005,Finger-prick sampling
278505005,Application of padding
27929005,Arteriovenous fistulization
27991004,"Thermometer, device"
280361007,Tracheostomy stoma
281078001,Education about alcohol consumption
281420003,Bilateral lung ventilation
281568006,Fetal heart monitoring
281572005,Direct current cardiac shock
281582006,Pneumothorax relief
281613004,Decompression - action
281789004,Antibiotic therapy
281790008,Intravenous antibiotic therapy
281800008,Intravenous fluid replacement
282201001,Difficulty walking down stairs
282390008,Unit of whole blood analysis
28261000,Beta-glucosidase measurement
282628002,Does roll on to side
28400003,"Passive ventilation, function"
284019003,Airway pressure monitoring
284021008,Electrocardiogram automated dysrhythmia monitoring
284026003,Core temperature monitoring
284029005,Respired carbon dioxide monitoring
284034009,Pulse oximetry monitoring
284036006,Equipment monitoring
284366008,Examination of body system
284394000,Examination of spine
284405008,Examination of cervical spine
284646009,Spitting at other person
285034004,Able to manage medication
28520004,Venipuncture for blood test
285403007,Mechanical compression
28651003,Orthostatic hypotension
286861005,Suprapubic catheter
287331001,Esophageal foreign body removal by manipulation
28760000,Laryngoscopy
287630006,Immobilization by splinting
288144001,Splinting of fracture
288161003,Orthopedic device application
288170000,Packed blood cell transfusion
288176006,Circulation maintenance
288335007,Difficulty lifting
288795007,Unable to ask questions
288883002,Ability to eat
288969000,Able to spit
289133003,Button gastrostomy feeding
289909005,"Labor, function"
289971007,Ventilator component
291005,"Atomizer, device"
29190006,Fentanyl citrate
29303009,Electrocardiographic procedure
297109004,Magill breathing circuit
297236007,Removal of object
297751002,Infusion of saline solution
298391004,Cervical spine deformity
298488000,Cervical spine stress test positive
298489008,Cervical spine stress test negative
299403002,Stroke test positive
299404008,Stroke test negative
300237004,Tooth problem
30088009,Blood culture
301113001,Finding of heart rate
301151001,Peripheral pulse present
301153003,Carotid pulse present
301163006,Carotid pulse absent
301784005,Ileostomy operation
301842006,Intravenous blood transfusion
302083008,Finding of Apgar score
302108003,Tracheostomy present
302109006,Gastrostomy present
302111002,Ileostomy present
302112009,Colostomy present
302113004,Urostomy present
302204005,Ultrasound - action
302353008,Attention to jejunostomy
302421003,Removal of foreign body from skin
302488007,Application of traction using a traction device
302776009,Central venous cannula insertion via jugular vein
302789003,Capillary blood glucose measurement
303122009,Crewmember
303653007,Computed tomography of head
303727009,Arterial catheter
303728004,Venous catheter
303806006,Assessment of burn injuries
30381006,Bleeding precautions
304114006,Spinal approach
304342003,Normal range of cervical spine movement
304495004,"Monitoring of blood pressure, temperature, pulse rate and respiratory rate"
304561000,Informing health care professional
304562007,Informing doctor
304577004,Humidified oxygen therapy
304631003,Head position finding
304867008,Secure attachment
305060004,Patient care statuses
305398007,Admission to the mortuary
305400006,Admission to psychiatry department
305406000,Admission to radiology department
30549001,Removal of suture
306090001,Referral by social worker
306151002,Referral to public health service
306200004,Referral to trauma surgery service
306226009,Referral to mental health counseling service
306238000,Referral to Social Services
306802002,Referral to stroke service
307521008,Intravenous infusion of thrombolytic
307928008,Death administrative procedure
308005007,Language interpreter
308113006,Self-monitoring of blood glucose
308292007,Transfer of care
308561006,Report procedure
308721008,Suction clearance of nasal cavity
308739004,Repositioning
308813009,Notification status
308842001,Direct current defibrillation
309164002,Upper respiratory swab specimen
309433007,Patient warming therapy
309630000,Child referral-social services
309812005,Extubation of trachea
309845005,"Arm, brace or splint"
309849004,Pericardiocentesis
309912009,Medical department
310125001,Radiology service
310137004,Stroke service
310403001,Temperature control education
310411006,Administrative checking procedure
310583000,Suction clearance of tracheostomy tube
310813001,Observational assessment
3112006,Restraint removal
311446006,Closed reduction of fracture and traction
3116009,Blood coagulation panel
311786004,Control of saliva technique
311787008,Management of choking
31198006,Tube thoracostomy with water seal
312199007,Communications equipment
312364000,Ultrasound scan of lower limb arteries
312452009,Administration of prophylactic aspirin
312469006,Blood sodium measurement
312668007,Abnormal fetal heart rate
312831006,Arterial cannula procedure
312880001,Taking throat swab
312882009,Taking nasal swab
3130004,Monitoring of cardiac output by electrocardiogram
313006001,Doppler ultrasonography of fetal heart for heart sounds
313334002,Blood sample taken
313335001,Urine sample obtained
313418004,Continuous infusion of normal saline
313420001,Assisting with toileting
313637002,30 minute blood glucose measurement
313995005,Hemoglobin A measurement
314271007,Induction of conscious sedation
31542002,Carbon dioxide content measurement
315639002,Initial patient assessment
32352000,Jackson Pratt maintenance
32472009,"Medical helicopter, device"
32564009,Arterial specimen collection for laboratory test
32650004,"Language fluency, function"
32667006,Oropharyngeal airway device
3286006,"Patient status determination, greatly improved"
32908001,Assessment and interpretation of higher cerebral function
33230000,Activation test
3333006,"Application of short arm splint, forearm to hand, static"
333847008,Product containing ketamine
33388001,"Carbon dioxide analyzer, device"
33389009,Transfusion of whole blood
334416001,Sterile dressing pack
334438004,Absorbent cotton gauze
33463005,Liquid substance
334688000,Hydrogel dressing
334830004,Hemostatic gauze product
334940000,Arm sling
334941001,Adjustable web arm sling
334947002,Nebulizer
335084006,Elastic adhesive bandage
335125007,Heavy cotton and rubber elastic bandage
335339000,Absorbent bandage
336167007,Non-adherent dressing
336602003,Oxygen mask
336623009,Oxygen nasal cannula
33686008,"Stylet, device"
33697008,Geriatric counseling
337388004,Blood glucose testing strips
337414009,Blood glucose meter
33747003,"Glucose measurement, blood"
33879002,Administration of vaccine to produce active immunity
3390006,Verification routine
34106002,Trendelenburg position
34193001,Closed drainage of chest
3421000175104,Video screen time assessment
34475007,Intraaortic balloon pump maintenance
3457005,Patient referral
346447007,Fresh frozen plasma
34955007,Revision of automatic implantable cardioverter/defibrillator
350785008,Gauzes
354068006,Blood glucose monitoring equipment
35497000,Restraint maintenance
35683002,Phototherapy of newborn
35807001,Control of hemorrhage of nose
35963001,Removal of staples
359962006,Turning patient in bed
359965008,Moving a patient in bed
359986008,"Bilirubin, total measurement"
360004001,Radio
360056009,Automatic cardiac defibrillator
360064003,Ventricular assist device
360066001,Left ventricular assist device
360078002,Intracranial pressure catheter
360152008,Monitoring - action
360204007,Product containing opioid receptor agonist
360239007,Termination - action
360300001,Transport
360304005,Lift
36048009,Glucose measurement
360742002,Movement facilitation
361140007,Cardiac assist implant
36125001,Trauma center
361935003,Entire supreme nasal turbinate
362972006,Disorder of labor / delivery
363001008,Cardiovascular education
363049002,Death notification
363332000,Ultrasonography by mode
363563002,Entrapment
363659002,Pacing - action
364035002,Nasal airway feature
36421003,Carbon monoxide diffusing capacity measurement
364399002,Measure of fluid intake
364507005,Stroke test response
364592005,Component of Apgar score
36576007,Infusion
365811003,Finding of glucose level
365812005,Finding of blood glucose level
366199006,Pulse finding
366212008,Finding of jugular venous pulse characteristics
366380009,Finding of cervical spine - range of movement
366609000,Stroke test finding
36708009,External fetal monitor surveillance
367408005,Incision of thorax
370125004,MOVED TO
370532003,Head tilt
370771002,Maintenance of invasive device
370775006,Application of safety device
370778008,Assessment of pain control
370782005,Assessment of susceptibility for infection
370807008,Evaluation of response to medications
370814005,Identification of presence of implantable cardiac devices
370863009,Activity care assessment
370904000,Patient death or serious disability associated with intravascular air embolism that occurs while being cared for in a healthcare facility
371040005,Thrombotic stroke
371361000119107,Comprehensive metabolic panel
371524004,Clinical report
371525003,Clinical procedure report
371580005,Assessment of past history
371585000,Psychosocial assessment
371785003,Ambu bag
371786002,Pressure support ventilator
371802008,Tip manometer
371818002,Patient on intra-aortic balloon pump assist
371819005,Patient on circulatory assist
371820004,Patient ventilated
371852004,Angioplasty inflation duration
371907003,Oxygen administration by nasal cannula
371908008,Oxygen administration by mask
371911009,Measurement of blood pressure using cuff method
372033006,Hypothermia risk assessment
372034000,Implementation of hemostasis techniques
372038002,Advocacy
372040007,Confirming patient identity prior to procedure
372045002,Application of chemical hemostatic agents
372057006,Assessment of baseline neurological status
372114004,Assessment of hypovolemia risk factors
372487007,Ondansetron
372502001,Nicardipine
372518007,Ipratropium
372742009,Thrombolytic agent
372745006,Terbutaline
372750000,Labetalol
372821002,Amiodarone
372826007,Metoprolol
372877000,Heparin
372890007,Naloxone
372897005,Salbutamol
372918000,Age-specific patient education
372919008,Patient education based on identified need
373106001,Patient paced
373110003,Emergency procedure
373464007,Ketamine
373492002,Fentanyl
373529000,Morphine
37353002,Application of hot water bottle
373606000,Occlusive stroke
373671009,Specific ultrasound studies
373675000,Application of pressure bandage
373766008,Hypertonic saline
373784005,Dispensing medication
373787003,Treatment delay - patient choice
37400007,Product containing magnesium sulfate
37411004,Tissue plasminogen activator
37874008,"Continuing positive airway pressure unit, device"
37931006,Auscultation
38141007,"Tourniquet, device"
384745002,Maintenance of gastrointestinal tract tube
384762007,Transportation procedure
385432009,Not applicable
385487005,Surgical procedure on thorax
385659006,"Tocodynamometer, device"
385664005,"Fetal monitor, device"
385671000,Unsuccessful
385676005,Outcome of action
385699009,Maintenance of immobilizer
