eInjury_01,DiagnosisCodeDescr
T44.3X5,Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics
T44.6X5,Adverse effect of alpha-adrenoreceptor antagonists
T44.7X1,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional)"
T44.7X5,Adverse effect of beta-adrenoreceptor antagonists
T44.8X5,Adverse effect of centrally-acting and adrenergic-neuron-blocking agents
T44.902,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm"
T44.992,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm"
T44.995,Adverse effect of other drug primarily affecting the autonomic nervous system
T45.0X2,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm"
T45.0X5,Adverse effect of antiallergic and antiemetic drugs
T45.0X6,Underdosing of antiallergic and antiemetic drugs
T45.3X5,Adverse effect of enzymes
T45.4X2,"Poisoning by iron and its compounds, intentional self-harm"
T45.4X3,"Poisoning by iron and its compounds, assault"
T45.4X4,"Poisoning by iron and its compounds, undetermined"
T45.511,"Poisoning by anticoagulants, accidental (unintentional)"
T45.512,"Poisoning by anticoagulants, intentional self-harm"
T45.515,Adverse effect of anticoagulants
T45.525,Adverse effect of antithrombotic drugs
T45.616,Underdosing of thrombolytic drugs
T45.625,Adverse effect of hemostatic drug
T45.695,Adverse effect of other fibrinolysis-affecting drugs
T45.7X5,"Adverse effect of anticoagulant antagonists, vitamin K and other coagulants"
T45.91,"Poisoning by unspecified primarily systemic and hematological agent, accidental (unintentional)"
T45.94,"Poisoning by unspecified primarily systemic and hematological agent, undetermined"
T46.1X2,"Poisoning by calcium-channel blockers, intentional self-harm"
T46.1X5,Adverse effect of calcium-channel blockers
T46.2X2,"Poisoning by other antidysrhythmic drugs, intentional self-harm"
T46.2X5,Adverse effect of other antidysrhythmic drugs
T46.4X5,Adverse effect of angiotensin-converting-enzyme inhibitors
T46.901,"Poisoning by unspecified agents primarily affecting the cardiovascular system, accidental (unintentional)"
T46.905,Adverse effect of unspecified agents primarily affecting the cardiovascular system
T46.906,Underdosing of unspecified agents primarily affecting the cardiovascular system
T46.992,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm"
T46.995,Adverse effect of other agents primarily affecting the cardiovascular system
T47.1X2,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm"
T47.3X5,Adverse effect of saline and osmotic laxatives
T47.4X5,Adverse effect of other laxatives
T47.5X2,"Poisoning by digestants, intentional self-harm"
T47.5X4,"Poisoning by digestants, undetermined"
T47.5X5,Adverse effect of digestants
T47.7X5,Adverse effect of emetics
T47.8X2,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm"
T47.8X4,"Poisoning by other agents primarily affecting gastrointestinal system, undetermined"
T47.8X5,Adverse effect of other agents primarily affecting gastrointestinal system
T47.92,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm"
T47.95,Adverse effect of unspecified agents primarily affecting the gastrointestinal system
T48.1X4,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], undetermined"
T48.205,Adverse effect of unspecified drugs acting on muscles
T48.292,"Poisoning by other drugs acting on muscles, intentional self-harm"
T48.295,Adverse effect of other drugs acting on muscles
T48.3X2,"Poisoning by antitussives, intentional self-harm"
T48.4X5,Adverse effect of expectorants
T48.5X2,"Poisoning by other anti-common-cold drugs, intentional self-harm"
T48.5X3,"Poisoning by other anti-common-cold drugs, assault"
T48.6X3,"Poisoning by antiasthmatics, assault"
T48.901,"Poisoning by unspecified agents primarily acting on the respiratory system, accidental (unintentional)"
T48.904,"Poisoning by unspecified agents primarily acting on the respiratory system, undetermined"
T48.905,Adverse effect of unspecified agents primarily acting on the respiratory system
T48.991,"Poisoning by other agents primarily acting on the respiratory system, accidental (unintentional)"
T48.992,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm"
T48.994,"Poisoning by other agents primarily acting on the respiratory system, undetermined"
T48.995,Adverse effect of other agents primarily acting on the respiratory system
T49.1X2,"Poisoning by antipruritics, intentional self-harm"
T49.2X2,"Poisoning by local astringents and local detergents, intentional self-harm"
T49.3X4,"Poisoning by emollients, demulcents and protectants, undetermined"
T49.4X4,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined"
T49.8,"Poisoning by, adverse effect of and underdosing of other topical agents"
T49.8X2,"Poisoning by other topical agents, intentional self-harm"
T49.8X5,Adverse effect of other topical agents
T49.91,"Poisoning by unspecified topical agent, accidental (unintentional)"
T49.93,"Poisoning by unspecified topical agent, assault"
T49.95,Adverse effect of unspecified topical agent
T50.1X5,Adverse effect of loop [high-ceiling] diuretics
T50.3X5,"Adverse effect of electrolytic, caloric and water-balance agents"
T50.3X6,"Underdosing of electrolytic, caloric and water-balance agents"
T50.5X5,Adverse effect of appetite depressants
T50.6X5,Adverse effect of antidotes and chelating agents
T50.7X4,"Poisoning by analeptics and opioid receptor antagonists, undetermined"
T50.7X5,Adverse effect of analeptics and opioid receptor antagonists
T50.8X5,Adverse effect of diagnostic agents
T50.9,"Poisoning by, adverse effect of and underdosing of other and unspecified drugs, medicaments and biological substances"
T50.90,"Poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances"
T50.901,"Poisoning by unspecified drugs, medicaments and biological substances, accidental (unintentional)"
T50.901A,"Poisoning by unspecified drugs, medicaments and biological substances, accidental (unintentional), initial encounter"
T50.902,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm"
T50.902S,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, sequela"
T50.904,"Poisoning by unspecified drugs, medicaments and biological substances, undetermined"
T50.904A,"Poisoning by unspecified drugs, medicaments and biological substances, undetermined, initial encounter"
T50.905,"Adverse effect of unspecified drugs, medicaments and biological substances"
T50.905A,"Adverse effect of unspecified drugs, medicaments and biological substances, initial encounter"
T50.906,"Underdosing of unspecified drugs, medicaments and biological substances"
T50.912,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm"
T50.915A,"Adverse effect of multiple unspecified drugs, medicaments and biological substances, initial encounter"
T50.991,"Poisoning by other drugs, medicaments and biological substances, accidental (unintentional)"
T50.992,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm"
T50.993,"Poisoning by other drugs, medicaments and biological substances, assault"
T50.994,"Poisoning by other drugs, medicaments and biological substances, undetermined"
T50.994A,"Poisoning by other drugs, medicaments and biological substances, undetermined, initial encounter"
T50.995,"Adverse effect of other drugs, medicaments and biological substances"
T51,Toxic effect of alcohol
T51.0X2,"Toxic effect of ethanol, intentional self-harm"
T51.1X1,"Toxic effect of methanol, accidental (unintentional)"
T51.2X2,"Toxic effect of 2-Propanol, intentional self-harm"
T51.8,Toxic effect of other alcohols
T51.8X,Toxic effect of other alcohols
T51.8X1,"Toxic effect of other alcohols, accidental (unintentional)"
T51.8X2,"Toxic effect of other alcohols, intentional self-harm"
T51.8X3,"Toxic effect of other alcohols, assault"
T51.8X4,"Toxic effect of other alcohols, undetermined"
T51.9,Toxic effect of unspecified alcohol
T51.91,"Toxic effect of unspecified alcohol, accidental (unintentional)"
T51.92,"Toxic effect of unspecified alcohol, intentional self-harm"
T51.93,"Toxic effect of unspecified alcohol, assault"
T51.94,"Toxic effect of unspecified alcohol, undetermined"
T52.0,Toxic effects of petroleum products
T52.0X,Toxic effects of petroleum products
T52.0X1,"Toxic effect of petroleum products, accidental (unintentional)"
T52.8X4,"Toxic effect of other organic solvents, undetermined"
T52.9,Toxic effects of unspecified organic solvent
T52.91,"Toxic effect of unspecified organic solvent, accidental (unintentional)"
T53.9,Toxic effects of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons
T54,Toxic effect of corrosive substances
T54.1,Toxic effects of other corrosive organic compounds
T54.1X1,"Toxic effect of other corrosive organic compounds, accidental (unintentional)"
T54.2,Toxic effects of corrosive acids and acid-like substances
T54.2X1,"Toxic effect of corrosive acids and acid-like substances, accidental (unintentional)"
T54.2X2,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm"
T54.3,Toxic effects of corrosive alkalis and alkali-like substances
T54.3X1,"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional)"
T54.9,Toxic effects of unspecified corrosive substance
T54.91,"Toxic effect of unspecified corrosive substance, accidental (unintentional)"
T54.92,"Toxic effect of unspecified corrosive substance, intentional self-harm"
T54.93,"Toxic effect of unspecified corrosive substance, assault"
T55,Toxic effect of soaps and detergents
T55.0X,Toxic effect of soaps
T55.0X2,"Toxic effect of soaps, intentional self-harm"
T55.0X3,"Toxic effect of soaps, assault"
T55.0X4,"Toxic effect of soaps, undetermined"
T55.1X1,"Toxic effect of detergents, accidental (unintentional)"
T56.9,Toxic effects of unspecified metal
T56.91,"Toxic effect of unspecified metal, accidental (unintentional)"
T57.8X4,"Toxic effect of other specified inorganic substances, undetermined"
T57.9,Toxic effect of unspecified inorganic substance
T58,Toxic effect of carbon monoxide
T58.0,Toxic effect of carbon monoxide from motor vehicle exhaust
T58.02,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm"
T58.11,"Toxic effect of carbon monoxide from utility gas, accidental (unintentional)"
T58.2,Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels
T58.2X1,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional)"
T58.2X2,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm"
T58.8,Toxic effect of carbon monoxide from other source
T58.8X1,"Toxic effect of carbon monoxide from other source, accidental (unintentional)"
T58.9,Toxic effect of carbon monoxide from unspecified source
T58.91,"Toxic effect of carbon monoxide from unspecified source, accidental (unintentional)"
T58.91XA,"Toxic effect of carbon monoxide from unspecified source, accidental (unintentional), initial encounter"
T59,"Toxic effect of other gases, fumes and vapors"
T59.0X,Toxic effect of nitrogen oxides
T59.1X1,"Toxic effect of sulfur dioxide, accidental (unintentional)"
T59.3,Toxic effect of lacrimogenic gas
T59.3X3,"Toxic effect of lacrimogenic gas, assault"
T59.3X3A,"Toxic effect of lacrimogenic gas, assault, initial encounter"
T59.4,Toxic effect of chlorine gas
T59.4X1,"Toxic effect of chlorine gas, accidental (unintentional)"
T59.7X1,"Toxic effect of carbon dioxide, accidental (unintentional)"
T59.7X4A,"Toxic effect of carbon dioxide, undetermined, initial encounter"
T59.81,Toxic effect of smoke
T59.811,"Toxic effect of smoke, accidental (unintentional)"
T59.811A,"Toxic effect of smoke, accidental (unintentional), initial encounter"
T59.812,"Toxic effect of smoke, intentional self-harm"
T59.814,"Toxic effect of smoke, undetermined"
T59.89,"Toxic effect of other specified gases, fumes and vapors"
T59.891,"Toxic effect of other specified gases, fumes and vapors, accidental (unintentional)"
T59.894A,"Toxic effect of other specified gases, fumes and vapors, undetermined, initial encounter"
T59.9,"Toxic effect of unspecified gases, fumes and vapors"
T59.91,"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional)"
T59.91XA,"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional), initial encounter"
T59.93,"Toxic effect of unspecified gases, fumes and vapors, assault"
T59.94,"Toxic effect of unspecified gases, fumes and vapors, undetermined"
T60,Toxic effect of pesticides
T60.1,Toxic effect of halogenated insecticides
T60.2X4,"Toxic effect of other insecticides, undetermined"
T60.9,Toxic effect of unspecified pesticide
T61.01,"Ciguatera fish poisoning, accidental (unintentional)"
T61.9,Toxic effect of unspecified seafood
T62,Toxic effect of other noxious substances eaten as food
T62.9,Toxic effect of unspecified noxious substance eaten as food
T62.91,"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional)"
T62.94,"Toxic effect of unspecified noxious substance eaten as food, undetermined"
T63,Toxic effect of contact with venomous animals and plants
T63.0,Toxic effect of snake venom
T63.00,Toxic effect of unspecified snake venom
T63.001,"Toxic effect of unspecified snake venom, accidental (unintentional)"
T63.001A,"Toxic effect of unspecified snake venom, accidental (unintentional), initial encounter"
T63.004,"Toxic effect of unspecified snake venom, undetermined"
T63.004A,"Toxic effect of unspecified snake venom, undetermined, initial encounter"
T63.01,Toxic effect of rattlesnake venom
T63.011,"Toxic effect of rattlesnake venom, accidental (unintentional)"
T63.014,"Toxic effect of rattlesnake venom, undetermined"
T63.02,Toxic effect of coral snake venom
T63.06,Toxic effect of venom of other North and South American snake
T63.061,"Toxic effect of venom of other North and South American snake, accidental (unintentional)"
T63.09,Toxic effect of venom of other snake
T63.091,"Toxic effect of venom of other snake, accidental (unintentional)"
T63.092,"Toxic effect of venom of other snake, intentional self-harm"
T63.094,"Toxic effect of venom of other snake, undetermined"
T63.1,Toxic effect of venom of other reptiles
T63.2,Toxic effect of venom of scorpion
T63.2X1,"Toxic effect of venom of scorpion, accidental (unintentional)"
T63.3,Toxic effect of venom of spider
T63.30,Toxic effect of unspecified spider venom
T63.301,"Toxic effect of unspecified spider venom, accidental (unintentional)"
T63.303,"Toxic effect of unspecified spider venom, assault"
T63.304,"Toxic effect of unspecified spider venom, undetermined"
T63.331,"Toxic effect of venom of brown recluse spider, accidental (unintentional)"
T63.334,"Toxic effect of venom of brown recluse spider, undetermined"
T63.391,"Toxic effect of venom of other spider, accidental (unintentional)"
T63.4,Toxic effect of venom of other arthropods
T63.41,Toxic effect of venom of centipedes and venomous millipedes
T63.421,"Toxic effect of venom of ants, accidental (unintentional)"
T63.44,Toxic effect of venom of bees
T63.441,"Toxic effect of venom of bees, accidental (unintentional)"
T63.441A,"Toxic effect of venom of bees, accidental (unintentional), initial encounter"
T63.443,"Toxic effect of venom of bees, assault"
T63.444,"Toxic effect of venom of bees, undetermined"
T63.451,"Toxic effect of venom of hornets, accidental (unintentional)"
T63.454,"Toxic effect of venom of hornets, undetermined"
T63.46,Toxic effect of venom of wasps
T63.461,"Toxic effect of venom of wasps, accidental (unintentional)"
T63.464,"Toxic effect of venom of wasps, undetermined"
T63.511,"Toxic effect of contact with stingray, accidental (unintentional)"
T63.514,"Toxic effect of contact with stingray, undetermined"
T63.6,Toxic effect of contact with other venomous marine animals
T63.621,"Toxic effect of contact with other jellyfish, accidental (unintentional)"
T63.7,Toxic effect of contact with venomous plant
T63.793,"Toxic effect of contact with other venomous plant, assault"
T63.794,"Toxic effect of contact with other venomous plant, undetermined"
T63.8,Toxic effect of contact with other venomous animals
T63.89,Toxic effect of contact with other venomous animals
T63.891,"Toxic effect of contact with other venomous animals, accidental (unintentional)"
T63.894,"Toxic effect of contact with other venomous animals, undetermined"
T63.9,Toxic effect of contact with unspecified venomous animal
T63.91,"Toxic effect of contact with unspecified venomous animal, accidental (unintentional)"
T63.94,"Toxic effect of contact with unspecified venomous animal, undetermined"
T64,Toxic effect of aflatoxin and other mycotoxin food contaminants
T65,Toxic effect of other and unspecified substances
T65.221,"Toxic effect of tobacco cigarettes, accidental (unintentional)"
T65.222,"Toxic effect of tobacco cigarettes, intentional self-harm"
T65.6X1,"Toxic effect of paints and dyes, not elsewhere classified, accidental (unintentional)"
T65.8,Toxic effect of other specified substances
T65.891,"Toxic effect of other specified substances, accidental (unintentional)"
T65.892,"Toxic effect of other specified substances, intentional self-harm"
T65.893,"Toxic effect of other specified substances, assault"
T65.894,"Toxic effect of other specified substances, undetermined"
T65.9,Toxic effect of unspecified substance
T65.91,"Toxic effect of unspecified substance, accidental (unintentional)"
T65.91XA,"Toxic effect of unspecified substance, accidental (unintentional), initial encounter"
T65.92,"Toxic effect of unspecified substance, intentional self-harm"
T65.93XA,"Toxic effect of unspecified substance, assault, initial encounter"
T65.94,"Toxic effect of unspecified substance, undetermined"
T66,"Radiation sickness, unspecified"
T67,Effects of heat and light
T67.0,Heatstroke and sunstroke
T67.01,Heatstroke and sunstroke
T67.02,Exertional heatstroke
T67.1,Heat syncope
T67.5,"Heat exhaustion, unspecified"
T67.5XXA,"Heat exhaustion, unspecified, initial encounter"
T67.9,"Effect of heat and light, unspecified"
T68.XXXA,"Hypothermia, initial encounter"
T69.9,"Effect of reduced temperature, unspecified"
T70,Effects of air pressure and water pressure
T70.4,Effects of high-pressure fluids
T70.9,"Effect of air pressure and water pressure, unspecified"
T71,Asphyxiation
T71.1,Asphyxiation due to mechanical threat to breathing
T71.11,Asphyxiation due to smothering under pillow
T71.112,"Asphyxiation due to smothering under pillow, intentional self-harm"
T71.114,"Asphyxiation due to smothering under pillow, undetermined"
T71.12,Asphyxiation due to plastic bag
T71.13,Asphyxiation due to being trapped in bed linens
T71.132,"Asphyxiation due to being trapped in bed linens, intentional self-harm"
T71.14,Asphyxiation due to smothering under another person's body (in bed)
T71.143,"Asphyxiation due to smothering under another person's body (in bed), assault"
T71.15,Asphyxiation due to smothering in furniture
T71.153,"Asphyxiation due to smothering in furniture, assault"
T71.16,Asphyxiation due to hanging
T71.161,"Asphyxiation due to hanging, accidental"
T71.161A,"Asphyxiation due to hanging, accidental, initial encounter"
T71.162,"Asphyxiation due to hanging, intentional self-harm"
T71.163,"Asphyxiation due to hanging, assault"
T71.164,"Asphyxiation due to hanging, undetermined"
