eSituation_12,DiagnosisCodeDescr
B17.9,"Acute viral hepatitis, unspecified"
B18.8,Other chronic viral hepatitis
B19.20,Unspecified viral hepatitis C without hepatic coma
B19.9,Unspecified viral hepatitis without hepatic coma
B20,Human immunodeficiency virus [HIV] disease
B25.0,Cytomegaloviral pneumonitis
B25.2,Cytomegaloviral pancreatitis
B27.90,"Infectious mononucleosis, unspecified without complication"
B33,"Other viral diseases, not elsewhere classified"
B33.0,Epidemic myalgia
B33.20,"Viral carditis, unspecified"
B33.21,Viral endocarditis
B33.22,Viral myocarditis
B33.23,Viral pericarditis
B33.24,Viral cardiomyopathy
B34,Viral infection of unspecified site
B34.0,"Adenovirus infection, unspecified"
B34.1,"Enterovirus infection, unspecified"
B34.2,"Coronavirus infection, unspecified"
B34.8,Other viral infections of unspecified site
B34.9,"Viral infection, unspecified"
B36.9,"Superficial mycosis, unspecified"
B37.1,Pulmonary candidiasis
B37.81,Candidal esophagitis
B37.9,"Candidiasis, unspecified"
B44.9,"Aspergillosis, unspecified"
B48.8,Other specified mycoses
B54,Unspecified malaria
B67.1,Echinococcus granulosus infection of lung
B85.0,Pediculosis due to Pediculus humanus capitis
B85.1,Pediculosis due to Pediculus humanus corporis
B86,Scabies
B88.9,"Infestation, unspecified"
B89,Unspecified parasitic disease
B95.2,Enterococcus as the cause of diseases classified elsewhere
B95.5,Unspecified streptococcus as the cause of diseases classified elsewhere
B95.61,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.62,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.7,Other staphylococcus as the cause of diseases classified elsewhere
B95.8,Unspecified staphylococcus as the cause of diseases classified elsewhere
B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.29,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere
B96.6,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
B96.7,Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere
B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere
B97.2,Coronavirus as the cause of diseases classified elsewhere
B97.21,SARS-associated coronavirus as the cause of diseases classified elsewhere
B97.29,Other coronavirus as the cause of diseases classified elsewhere
B97.35,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere"
B97.4,Respiratory syncytial virus as the cause of diseases classified elsewhere
B97.89,Other viral agents as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
B99.8,Other infectious disease
B99.9,Unspecified infectious disease
C02.9,"Malignant neoplasm of tongue, unspecified"
C06.9,"Malignant neoplasm of mouth, unspecified"
C09.9,"Malignant neoplasm of tonsil, unspecified"
C14.0,"Malignant neoplasm of pharynx, unspecified"
C15,Malignant neoplasm of esophagus
C15.9,"Malignant neoplasm of esophagus, unspecified"
C16,Malignant neoplasm of stomach
C16.9,"Malignant neoplasm of stomach, unspecified"
C18.0,Malignant neoplasm of cecum
C18.8,Malignant neoplasm of overlapping sites of colon
C18.9,"Malignant neoplasm of colon, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C22.0,Liver cell carcinoma
C22.7,Other specified carcinomas of liver
C22.8,"Malignant neoplasm of liver, primary, unspecified as to type"
C22.9,"Malignant neoplasm of liver, not specified as primary or secondary"
C24.9,"Malignant neoplasm of biliary tract, unspecified"
C25.0,Malignant neoplasm of head of pancreas
C25.1,Malignant neoplasm of body of pancreas
C25.3,Malignant neoplasm of pancreatic duct
C25.4,Malignant neoplasm of endocrine pancreas
C25.9,"Malignant neoplasm of pancreas, unspecified"
C26.0,"Malignant neoplasm of intestinal tract, part unspecified"
C26.1,Malignant neoplasm of spleen
C26.9,Malignant neoplasm of ill-defined sites within the digestive system
C31.0,Malignant neoplasm of maxillary sinus
C31.9,"Malignant neoplasm of accessory sinus, unspecified"
C32.9,"Malignant neoplasm of larynx, unspecified"
C33,Malignant neoplasm of trachea
C34.00,Malignant neoplasm of unspecified main bronchus
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung"
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung"
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung"
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C34.9,Malignant neoplasm of unspecified part of bronchus or lung
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung
C39.0,"Malignant neoplasm of upper respiratory tract, part unspecified"
C40,Malignant neoplasm of bone and articular cartilage of limbs
C41.0,Malignant neoplasm of bones of skull and face
C41.2,Malignant neoplasm of vertebral column
C41.3,"Malignant neoplasm of ribs, sternum and clavicle"
C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified"
C43,Malignant melanoma of skin
C43.2,Malignant melanoma of ear and external auricular canal
C43.9,"Malignant melanoma of skin, unspecified"
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face
C44.321,Squamous cell carcinoma of skin of nose
C44.41,Basal cell carcinoma of skin of scalp and neck
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder"
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip"
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip"
C44.90,"Unspecified malignant neoplasm of skin, unspecified"
C44.91,"Basal cell carcinoma of skin, unspecified"
C45,Mesothelioma
C49,Malignant neoplasm of other connective and soft tissue
C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
C49.9,"Malignant neoplasm of connective and soft tissue, unspecified"
C50.911,Malignant neoplasm of unspecified site of right female breast
C50.912,Malignant neoplasm of unspecified site of left female breast
C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C51.9,"Malignant neoplasm of vulva, unspecified"
C52,Malignant neoplasm of vagina
C53.9,"Malignant neoplasm of cervix uteri, unspecified"
C55,"Malignant neoplasm of uterus, part unspecified"
C56.3,Malignant neoplasm of bilateral ovaries
C56.9,Malignant neoplasm of unspecified ovary
C57.00,Malignant neoplasm of unspecified fallopian tube
C57.02,Malignant neoplasm of left fallopian tube
C57.9,"Malignant neoplasm of female genital organ, unspecified"
C61,Malignant neoplasm of prostate
C63.9,"Malignant neoplasm of male genital organ, unspecified"
C64.1,"Malignant neoplasm of right kidney, except renal pelvis"
C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis"
C65.9,Malignant neoplasm of unspecified renal pelvis
C67.8,Malignant neoplasm of overlapping sites of bladder
C67.9,"Malignant neoplasm of bladder, unspecified"
C68.0,Malignant neoplasm of urethra
C69.90,Malignant neoplasm of unspecified site of unspecified eye
C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles"
C71.2,Malignant neoplasm of temporal lobe
C71.7,Malignant neoplasm of brain stem
C71.9,"Malignant neoplasm of brain, unspecified"
C72.0,Malignant neoplasm of spinal cord
C72.2,Malignant neoplasm of olfactory nerve
C72.9,"Malignant neoplasm of central nervous system, unspecified"
C74.90,Malignant neoplasm of unspecified part of unspecified adrenal gland
C75.3,Malignant neoplasm of pineal gland
C76.0,"Malignant neoplasm of head, face and neck"
C76.1,Malignant neoplasm of thorax
C76.2,Malignant neoplasm of abdomen
C76.3,Malignant neoplasm of pelvis
C76.8,Malignant neoplasm of other specified ill-defined sites
C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified"
C78.00,Secondary malignant neoplasm of unspecified lung
C78.01,Secondary malignant neoplasm of right lung
C78.02,Secondary malignant neoplasm of left lung
C78.1,Secondary malignant neoplasm of mediastinum
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct
C79.2,Secondary malignant neoplasm of skin
C79.31,Secondary malignant neoplasm of brain
C79.51,Secondary malignant neoplasm of bone
C79.71,Secondary malignant neoplasm of right adrenal gland
C79.81,Secondary malignant neoplasm of breast
C79.89,Secondary malignant neoplasm of other specified sites
C79.9,Secondary malignant neoplasm of unspecified site
C7B.00,"Secondary carcinoid tumors, unspecified site"
C80,Malignant neoplasm without specification of site
C80.0,"Disseminated malignant neoplasm, unspecified"
C80.1,"Malignant (primary) neoplasm, unspecified"
C81.90,"Hodgkin lymphoma, unspecified, unspecified site"
C83.30,"Diffuse large B-cell lymphoma, unspecified site"
C83.38,"Diffuse large B-cell lymphoma, lymph nodes of multiple sites"
C85.10,"Unspecified B-cell lymphoma, unspecified site"
C85.29,"Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites"
C85.80,"Other specified types of non-Hodgkin lymphoma, unspecified site"
C85.89,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites"
C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site"
C90.00,Multiple myeloma not having achieved remission
C90.02,Multiple myeloma in relapse
C91.0,Acute lymphoblastic leukemia [ALL]
C91.12,Chronic lymphocytic leukemia of B-cell type in relapse
C92.00,"Acute myeloblastic leukemia, not having achieved remission"
C92.6,Acute myeloid leukemia with 11q23-abnormality
C92.60,Acute myeloid leukemia with 11q23-abnormality not having achieved remission
C94.02,"Acute erythroid leukemia, in relapse"
C95.0,Acute leukemia of unspecified cell type
C95.00,Acute leukemia of unspecified cell type not having achieved remission
C95.10,Chronic leukemia of unspecified cell type not having achieved remission
C95.9,"Leukemia, unspecified"
C95.90,"Leukemia, unspecified not having achieved remission"
C95.92,"Leukemia, unspecified, in relapse"
C96.20,"Malignant mast cell neoplasm, unspecified"
D00,"Carcinoma in situ of oral cavity, esophagus and stomach"
D01.0,Carcinoma in situ of colon
D02.20,Carcinoma in situ of unspecified bronchus and lung
D06.9,"Carcinoma in situ of cervix, unspecified"
D07.5,Carcinoma in situ of prostate
D09.0,Carcinoma in situ of bladder
D09.9,"Carcinoma in situ, unspecified"
D10.3,Benign neoplasm of other and unspecified parts of mouth
D12.6,"Benign neoplasm of colon, unspecified"
D14.30,Benign neoplasm of unspecified bronchus and lung
D18.00,Hemangioma unspecified site
D33,Benign neoplasm of brain and other parts of central nervous system
D33.2,"Benign neoplasm of brain, unspecified"
D37.01,Neoplasm of uncertain behavior of lip
D37.02,Neoplasm of uncertain behavior of tongue
D37.05,Neoplasm of uncertain behavior of pharynx
D37.09,Neoplasm of uncertain behavior of other specified sites of the oral cavity
D37.1,Neoplasm of uncertain behavior of stomach
D37.3,Neoplasm of uncertain behavior of appendix
D37.5,Neoplasm of uncertain behavior of rectum
D37.6,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts"
D38.1,"Neoplasm of uncertain behavior of trachea, bronchus and lung"
D38.3,Neoplasm of uncertain behavior of mediastinum
D38.4,Neoplasm of uncertain behavior of thymus
D39.0,Neoplasm of uncertain behavior of uterus
D39.10,Neoplasm of uncertain behavior of unspecified ovary
D39.9,"Neoplasm of uncertain behavior of female genital organ, unspecified"
D40.10,Neoplasm of uncertain behavior of unspecified testis
D41.00,Neoplasm of uncertain behavior of unspecified kidney
D41.3,Neoplasm of uncertain behavior of urethra
D43,Neoplasm of uncertain behavior of brain and central nervous system
D43.2,"Neoplasm of uncertain behavior of brain, unspecified"
D47.0,Mast cell neoplasms of uncertain behavior
D48.5,Neoplasm of uncertain behavior of skin
D48.60,Neoplasm of uncertain behavior of unspecified breast
D48.9,"Neoplasm of uncertain behavior, unspecified"
D49,Neoplasms of unspecified behavior
D49.0,Neoplasm of unspecified behavior of digestive system
D49.1,Neoplasm of unspecified behavior of respiratory system
D49.2,"Neoplasm of unspecified behavior of bone, soft tissue, and skin"
D49.3,Neoplasm of unspecified behavior of breast
D49.4,Neoplasm of unspecified behavior of bladder
D49.5,Neoplasm of unspecified behavior of other genitourinary organs
D49.519,Neoplasm of unspecified behavior of unspecified kidney
D49.6,Neoplasm of unspecified behavior of brain
D49.8,Neoplasm of unspecified behavior of other specified sites
D49.89,Neoplasm of unspecified behavior of other specified sites
D49.9,Neoplasm of unspecified behavior of unspecified site
D50,Iron deficiency anemia
D50.0,Iron deficiency anemia secondary to blood loss (chronic)
D50.8,Other iron deficiency anemias
D50.9,"Iron deficiency anemia, unspecified"
D53.9,"Nutritional anemia, unspecified"
D55.0,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
D56.4,Hereditary persistence of fetal hemoglobin [HPFH]
D57,Sickle-cell disorders
D57.0,Hb-SS disease with crisis
D57.00,"Hb-SS disease with crisis, unspecified"
D57.1,Sickle-cell disease without crisis
D57.21,Sickle-cell/Hb-C disease with crisis
D57.218,Sickle-cell/Hb-C disease with crisis with other specified complication
D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified"
D57.419,"Sickle-cell thalassemia, unspecified, with crisis"
D57.8,Other sickle-cell disorders
D57.81,Other sickle-cell disorders with crisis
D57.819,"Other sickle-cell disorders with crisis, unspecified"
D58.2,Other hemoglobinopathies
D58.9,"Hereditary hemolytic anemia, unspecified"
D59.6,Hemoglobinuria due to hemolysis from other external causes
D59.8,Other acquired hemolytic anemias
D61.09,Other constitutional aplastic anemia
D61.810,Antineoplastic chemotherapy induced pancytopenia
D61.818,Other pancytopenia
D62,Acute posthemorrhagic anemia
D63.0,Anemia in neoplastic disease
D63.1,Anemia in chronic kidney disease
D63.8,Anemia in other chronic diseases classified elsewhere
D64.9,"Anemia, unspecified"
D65,Disseminated intravascular coagulation [defibrination syndrome]
D66,Hereditary factor VIII deficiency
D68,Other coagulation defects
D68.3,Hemorrhagic disorder due to circulating anticoagulants
D68.311,Acquired hemophilia
D68.318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D68.62,Lupus anticoagulant syndrome
D68.8,Other specified coagulation defects
D68.9,"Coagulation defect, unspecified"
D69.0,Allergic purpura
D69.3,Immune thrombocytopenic purpura
D69.6,"Thrombocytopenia, unspecified"
D69.9,"Hemorrhagic condition, unspecified"
D70,Neutropenia
D70.1,Agranulocytosis secondary to cancer chemotherapy
D70.4,Cyclic neutropenia
D70.9,"Neutropenia, unspecified"
D72.1,Eosinophilia
D72.81,Decreased white blood cell count
D72.819,"Decreased white blood cell count, unspecified"
D72.82,Elevated white blood cell count
D72.828,Other elevated white blood cell count
D72.829,"Elevated white blood cell count, unspecified"
D72.9,"Disorder of white blood cells, unspecified"
D75.9,"Disease of blood and blood-forming organs, unspecified"
D76.1,Hemophagocytic lymphohistiocytosis
D78.01,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen
D84.9,"Immunodeficiency, unspecified"
D86.0,Sarcoidosis of lung
D86.82,Multiple cranial nerve palsies in sarcoidosis
D86.85,Sarcoid myocarditis
D86.9,"Sarcoidosis, unspecified"
D89.82,Autoimmune lymphoproliferative syndrome [ALPS]
D89.9,"Disorder involving the immune mechanism, unspecified"
E03,Other hypothyroidism
E03.5,Myxedema coma
E03.8,Other specified hypothyroidism
E03.9,"Hypothyroidism, unspecified"
E04.9,"Nontoxic goiter, unspecified"
E05,Thyrotoxicosis [hyperthyroidism]
E05.01,Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
E05.3,Thyrotoxicosis from ectopic thyroid tissue
E05.81,Other thyrotoxicosis with thyrotoxic crisis or storm
E05.90,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
E05.91,"Thyrotoxicosis, unspecified with thyrotoxic crisis or storm"
E06.3,Autoimmune thyroiditis
E07.9,"Disorder of thyroid, unspecified"
E08,Diabetes mellitus due to underlying condition
E08.1,Diabetes mellitus due to underlying condition with ketoacidosis
E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma
E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy
E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified"
E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy
E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy
E08.59,Diabetes mellitus due to underlying condition with other circulatory complications
E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis
E08.622,Diabetes mellitus due to underlying condition with other skin ulcer
E08.64,Diabetes mellitus due to underlying condition with hypoglycemia
E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma
E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma
E08.65,Diabetes mellitus due to underlying condition with hyperglycemia
E08.8,Diabetes mellitus due to underlying condition with unspecified complications
E08.9,Diabetes mellitus due to underlying condition without complications
E09.10,Drug or chemical induced diabetes mellitus with ketoacidosis without coma
E09.3593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
E10,Type 1 diabetes mellitus
E10.1,Type 1 diabetes mellitus with ketoacidosis
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma
E10.40,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified"
E10.49,Type 1 diabetes mellitus with other diabetic neurological complication
E10.618,Type 1 diabetes mellitus with other diabetic arthropathy
E10.638,Type 1 diabetes mellitus with other oral complications
E10.64,Type 1 diabetes mellitus with hypoglycemia
E10.641,Type 1 diabetes mellitus with hypoglycemia with coma
E10.649,Type 1 diabetes mellitus with hypoglycemia without coma
E10.65,Type 1 diabetes mellitus with hyperglycemia
E10.69,Type 1 diabetes mellitus with other specified complication
E10.8,Type 1 diabetes mellitus with unspecified complications
E10.9,Type 1 diabetes mellitus without complications
E11,Type 2 diabetes mellitus
E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma
E11.1,Type 2 diabetes mellitus with ketoacidosis
E11.10,Type 2 diabetes mellitus with ketoacidosis without coma
E11.11,Type 2 diabetes mellitus with ketoacidosis with coma
E11.21,Type 2 diabetes mellitus with diabetic nephropathy
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease
E11.29,Type 2 diabetes mellitus with other diabetic kidney complication
E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
E11.43,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
E11.49,Type 2 diabetes mellitus with other diabetic neurological complication
E11.51,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
E11.59,Type 2 diabetes mellitus with other circulatory complications
E11.6,Type 2 diabetes mellitus with other specified complications
E11.618,Type 2 diabetes mellitus with other diabetic arthropathy
E11.621,Type 2 diabetes mellitus with foot ulcer
E11.622,Type 2 diabetes mellitus with other skin ulcer
E11.628,Type 2 diabetes mellitus with other skin complications
E11.64,Type 2 diabetes mellitus with hypoglycemia
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma
E11.649,Type 2 diabetes mellitus with hypoglycemia without coma
E11.65,Type 2 diabetes mellitus with hyperglycemia
E11.69,Type 2 diabetes mellitus with other specified complication
E11.8,Type 2 diabetes mellitus with unspecified complications
E11.9,Type 2 diabetes mellitus without complications
E13,Other specified diabetes mellitus
E13.01,Other specified diabetes mellitus with hyperosmolarity with coma
E13.1,Other specified diabetes mellitus with ketoacidosis
E13.10,Other specified diabetes mellitus with ketoacidosis without coma
E13.11,Other specified diabetes mellitus with ketoacidosis with coma
E13.21,Other specified diabetes mellitus with diabetic nephropathy
E13.31,Other specified diabetes mellitus with unspecified diabetic retinopathy
E13.40,"Other specified diabetes mellitus with diabetic neuropathy, unspecified"
E13.41,Other specified diabetes mellitus with diabetic mononeuropathy
E13.42,Other specified diabetes mellitus with diabetic polyneuropathy
E13.52,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene
E13.59,Other specified diabetes mellitus with other circulatory complications
E13.64,Other specified diabetes mellitus with hypoglycemia
E13.641,Other specified diabetes mellitus with hypoglycemia with coma
E13.649,Other specified diabetes mellitus with hypoglycemia without coma
E13.65,Other specified diabetes mellitus with hyperglycemia
E13.69,Other specified diabetes mellitus with other specified complication
E13.8,Other specified diabetes mellitus with unspecified complications
E15,Nondiabetic hypoglycemic coma
E16,Other disorders of pancreatic internal secretion
E16.0,Drug-induced hypoglycemia without coma
E16.1,Other hypoglycemia
E16.2,"Hypoglycemia, unspecified"
E16.9,"Disorder of pancreatic internal secretion, unspecified"
E21.3,"Hyperparathyroidism, unspecified"
E23.0,Hypopituitarism
E23.2,Diabetes insipidus
E25.0,Congenital adrenogenital disorders associated with enzyme deficiency
E27.2,Addisonian crisis
E27.4,Other and unspecified adrenocortical insufficiency
E27.40,Unspecified adrenocortical insufficiency
E27.9,"Disorder of adrenal gland, unspecified"
E28.9,"Ovarian dysfunction, unspecified"
E29.9,"Testicular dysfunction, unspecified"
E34,Other endocrine disorders
E34.8,Other specified endocrine disorders
E34.9,"Endocrine disorder, unspecified"
E41,Nutritional marasmus
E43,Unspecified severe protein-calorie malnutrition
E44.0,Moderate protein-calorie malnutrition
E44.1,Mild protein-calorie malnutrition
E46,Unspecified protein-calorie malnutrition
E51.2,Wernicke's encephalopathy
E61.1,Iron deficiency
E61.7,Deficiency of multiple nutrient elements
E63.9,"Nutritional deficiency, unspecified"
E66,Overweight and obesity
E66.0,Obesity due to excess calories
E66.01,Morbid (severe) obesity due to excess calories
E66.2,Morbid (severe) obesity with alveolar hypoventilation
E66.3,Overweight
E66.8,Other obesity
E66.9,"Obesity, unspecified"
E70.0,Classical phenylketonuria
E72.20,"Disorder of urea cycle metabolism, unspecified"
E72.29,Other disorders of urea cycle metabolism
E72.3,Disorders of lysine and hydroxylysine metabolism
E72.51,Non-ketotic hyperglycinemia
E72.9,"Disorder of amino-acid metabolism, unspecified"
E73,Lactose intolerance
E76.9,"Glucosaminoglycan metabolism disorder, unspecified"
E78.2,Mixed hyperlipidemia
E78.4,Other hyperlipidemia
E78.5,"Hyperlipidemia, unspecified"
E80.6,Other disorders of bilirubin metabolism
E80.7,"Disorder of bilirubin metabolism, unspecified"
E83.10,"Disorder of iron metabolism, unspecified"
E83.111,Hemochromatosis due to repeated red blood cell transfusions
E83.40,"Disorders of magnesium metabolism, unspecified"
E83.41,Hypermagnesemia
E83.42,Hypomagnesemia
E83.49,Other disorders of magnesium metabolism
E83.50,Unspecified disorder of calcium metabolism
E83.51,Hypocalcemia
E83.52,Hypercalcemia
E84,Cystic fibrosis
E84.0,Cystic fibrosis with pulmonary manifestations
E84.9,"Cystic fibrosis, unspecified"
E86,Volume depletion
E86.0,Dehydration
E86.1,Hypovolemia
E86.9,"Volume depletion, unspecified"
E87,"Other disorders of fluid, electrolyte and acid-base balance"
E87.0,Hyperosmolality and hypernatremia
E87.1,Hypo-osmolality and hyponatremia
E87.2,Acidosis
E87.20,"Acidosis, unspecified"
E87.21,Acute metabolic acidosis
E87.3,Alkalosis
E87.4,Mixed disorder of acid-base balance
E87.5,Hyperkalemia
E87.6,Hypokalemia
E87.7,Fluid overload
E87.70,"Fluid overload, unspecified"
E87.71,Transfusion associated circulatory overload
E87.79,Other fluid overload
E87.8,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E88,Other and unspecified metabolic disorders
E88.8,Other specified metabolic disorders
E88.81,Metabolic syndrome and other insulin resistance
E88.89,Other specified metabolic disorders
E88.9,"Metabolic disorder, unspecified"
F01.5,"Vascular dementia, unspecified severity"
F01.50,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F01.51,"Vascular dementia, unspecified severity, with behavioral disturbance"
F01.511,"Vascular dementia, unspecified severity, with agitation"
F01.C4,"Vascular dementia, severe, with anxiety"
F02,Dementia in other diseases classified elsewhere
F02.8,"Dementia in other diseases classified elsewhere, unspecified severity"
