eSituation_11,DiagnosisCodeDescr
C21.0,"Malignant neoplasm of anus, unspecified"
C21.1,Malignant neoplasm of anal canal
C21.8,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
C22.0,Liver cell carcinoma
C22.1,Intrahepatic bile duct carcinoma
C22.7,Other specified carcinomas of liver
C22.8,"Malignant neoplasm of liver, primary, unspecified as to type"
C22.9,"Malignant neoplasm of liver, not specified as primary or secondary"
C23,Malignant neoplasm of gallbladder
C24.0,Malignant neoplasm of extrahepatic bile duct
C24.9,"Malignant neoplasm of biliary tract, unspecified"
C25.0,Malignant neoplasm of head of pancreas
C25.3,Malignant neoplasm of pancreatic duct
C25.4,Malignant neoplasm of endocrine pancreas
C25.8,Malignant neoplasm of overlapping sites of pancreas
C25.9,"Malignant neoplasm of pancreas, unspecified"
C26.0,"Malignant neoplasm of intestinal tract, part unspecified"
C26.1,Malignant neoplasm of spleen
C26.9,Malignant neoplasm of ill-defined sites within the digestive system
C30.0,Malignant neoplasm of nasal cavity
C32.0,Malignant neoplasm of glottis
C32.9,"Malignant neoplasm of larynx, unspecified"
C33,Malignant neoplasm of trachea
C34.00,Malignant neoplasm of unspecified main bronchus
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung"
C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung"
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung"
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung"
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C34.9,Malignant neoplasm of unspecified part of bronchus or lung
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung
C38.0,Malignant neoplasm of heart
C38.3,"Malignant neoplasm of mediastinum, part unspecified"
C39.0,"Malignant neoplasm of upper respiratory tract, part unspecified"
C39.9,"Malignant neoplasm of lower respiratory tract, part unspecified"
C40,Malignant neoplasm of bone and articular cartilage of limbs
C40.20,Malignant neoplasm of long bones of unspecified lower limb
C41.0,Malignant neoplasm of bones of skull and face
C41.1,Malignant neoplasm of mandible
C41.2,Malignant neoplasm of vertebral column
C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified"
C43,Malignant melanoma of skin
C43.2,Malignant melanoma of ear and external auricular canal
C43.9,"Malignant melanoma of skin, unspecified"
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face
C44.309,Unspecified malignant neoplasm of skin of other parts of face
C44.40,Unspecified malignant neoplasm of skin of scalp and neck
C44.42,Squamous cell carcinoma of skin of scalp and neck
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip"
C44.90,"Unspecified malignant neoplasm of skin, unspecified"
C44.91,"Basal cell carcinoma of skin, unspecified"
C45.9,"Mesothelioma, unspecified"
C48.2,"Malignant neoplasm of peritoneum, unspecified"
C49,Malignant neoplasm of other connective and soft tissue
C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
C49.4,Malignant neoplasm of connective and soft tissue of abdomen
C49.5,Malignant neoplasm of connective and soft tissue of pelvis
C49.9,"Malignant neoplasm of connective and soft tissue, unspecified"
C50.911,Malignant neoplasm of unspecified site of right female breast
C50.912,Malignant neoplasm of unspecified site of left female breast
C50.919,Malignant neoplasm of unspecified site of unspecified female breast
C50.921,Malignant neoplasm of unspecified site of right male breast
C50.929,Malignant neoplasm of unspecified site of unspecified male breast
C52,Malignant neoplasm of vagina
C53.9,"Malignant neoplasm of cervix uteri, unspecified"
C54.3,Malignant neoplasm of fundus uteri
C55,"Malignant neoplasm of uterus, part unspecified"
C56.1,Malignant neoplasm of right ovary
C56.2,Malignant neoplasm of left ovary
C56.3,Malignant neoplasm of bilateral ovaries
C56.9,Malignant neoplasm of unspecified ovary
C57.02,Malignant neoplasm of left fallopian tube
C57.4,"Malignant neoplasm of uterine adnexa, unspecified"
C57.9,"Malignant neoplasm of female genital organ, unspecified"
C60.9,"Malignant neoplasm of penis, unspecified"
C61,Malignant neoplasm of prostate
C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended"
C63.9,"Malignant neoplasm of male genital organ, unspecified"
C64,"Malignant neoplasm of kidney, except renal pelvis"
C64.1,"Malignant neoplasm of right kidney, except renal pelvis"
C64.2,"Malignant neoplasm of left kidney, except renal pelvis"
C64.9,"Malignant neoplasm of unspecified kidney, except renal pelvis"
C65.9,Malignant neoplasm of unspecified renal pelvis
C66.9,Malignant neoplasm of unspecified ureter
C67.8,Malignant neoplasm of overlapping sites of bladder
C67.9,"Malignant neoplasm of bladder, unspecified"
C68.0,Malignant neoplasm of urethra
C68.9,"Malignant neoplasm of urinary organ, unspecified"
C69.90,Malignant neoplasm of unspecified site of unspecified eye
C69.91,Malignant neoplasm of unspecified site of right eye
C69.92,Malignant neoplasm of unspecified site of left eye
C70.0,Malignant neoplasm of cerebral meninges
C70.1,Malignant neoplasm of spinal meninges
C71,Malignant neoplasm of brain
C71.1,Malignant neoplasm of frontal lobe
C71.2,Malignant neoplasm of temporal lobe
C71.7,Malignant neoplasm of brain stem
C71.9,"Malignant neoplasm of brain, unspecified"
C72.0,Malignant neoplasm of spinal cord
C72.9,"Malignant neoplasm of central nervous system, unspecified"
C73,Malignant neoplasm of thyroid gland
C74.90,Malignant neoplasm of unspecified part of unspecified adrenal gland
C75.3,Malignant neoplasm of pineal gland
C75.9,"Malignant neoplasm of endocrine gland, unspecified"
C76.0,"Malignant neoplasm of head, face and neck"
C76.1,Malignant neoplasm of thorax
C76.2,Malignant neoplasm of abdomen
C76.3,Malignant neoplasm of pelvis
C76.50,Malignant neoplasm of unspecified lower limb
C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified"
C78.00,Secondary malignant neoplasm of unspecified lung
C78.01,Secondary malignant neoplasm of right lung
C78.02,Secondary malignant neoplasm of left lung
C78.1,Secondary malignant neoplasm of mediastinum
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct
C79.2,Secondary malignant neoplasm of skin
C79.31,Secondary malignant neoplasm of brain
C79.51,Secondary malignant neoplasm of bone
C79.71,Secondary malignant neoplasm of right adrenal gland
C79.81,Secondary malignant neoplasm of breast
C79.9,Secondary malignant neoplasm of unspecified site
C7A.8,Other malignant neuroendocrine tumors
C7B.00,"Secondary carcinoid tumors, unspecified site"
C80,Malignant neoplasm without specification of site
C80.0,"Disseminated malignant neoplasm, unspecified"
C80.1,"Malignant (primary) neoplasm, unspecified"
C81.9,"Hodgkin lymphoma, unspecified"
C81.90,"Hodgkin lymphoma, unspecified, unspecified site"
C81.98,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
C83.10,"Mantle cell lymphoma, unspecified site"
C83.30,"Diffuse large B-cell lymphoma, unspecified site"
C83.50,"Lymphoblastic (diffuse) lymphoma, unspecified site"
C84.93,"Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes"
C85.10,"Unspecified B-cell lymphoma, unspecified site"
C85.80,"Other specified types of non-Hodgkin lymphoma, unspecified site"
C85.88,"Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites"
C85.9,"Non-Hodgkin lymphoma, unspecified"
C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site"
C88.0,Waldenström macroglobulinemia
C90.0,Multiple myeloma
C90.00,Multiple myeloma not having achieved remission
C90.02,Multiple myeloma in relapse
C91.0,Acute lymphoblastic leukemia [ALL]
C91.00,Acute lymphoblastic leukemia not having achieved remission
C91.02,"Acute lymphoblastic leukemia, in relapse"
C91.10,Chronic lymphocytic leukemia of B-cell type not having achieved remission
C91.92,"Lymphoid leukemia, unspecified, in relapse"
C92.00,"Acute myeloblastic leukemia, not having achieved remission"
C92.6,Acute myeloid leukemia with 11q23-abnormality
C92.60,Acute myeloid leukemia with 11q23-abnormality not having achieved remission
C92.90,"Myeloid leukemia, unspecified, not having achieved remission"
C95,Leukemia of unspecified cell type
C95.0,Acute leukemia of unspecified cell type
C95.00,Acute leukemia of unspecified cell type not having achieved remission
C95.01,"Acute leukemia of unspecified cell type, in remission"
C95.02,"Acute leukemia of unspecified cell type, in relapse"
C95.10,Chronic leukemia of unspecified cell type not having achieved remission
C95.9,"Leukemia, unspecified"
C95.90,"Leukemia, unspecified not having achieved remission"
C95.92,"Leukemia, unspecified, in relapse"
C96.20,"Malignant mast cell neoplasm, unspecified"
D00,"Carcinoma in situ of oral cavity, esophagus and stomach"
D01.9,"Carcinoma in situ of digestive organ, unspecified"
D02.20,Carcinoma in situ of unspecified bronchus and lung
D02.3,Carcinoma in situ of other parts of respiratory system
D05.00,Lobular carcinoma in situ of unspecified breast
D06.9,"Carcinoma in situ of cervix, unspecified"
D07.0,Carcinoma in situ of endometrium
D07.5,Carcinoma in situ of prostate
D09.0,Carcinoma in situ of bladder
D09.9,"Carcinoma in situ, unspecified"
D10.3,Benign neoplasm of other and unspecified parts of mouth
D12.6,"Benign neoplasm of colon, unspecified"
D12.8,Benign neoplasm of rectum
D12.9,Benign neoplasm of anus and anal canal
D14.30,Benign neoplasm of unspecified bronchus and lung
D16.32,Benign neoplasm of short bones of left lower limb
D18.00,Hemangioma unspecified site
D25.9,"Leiomyoma of uterus, unspecified"
D29.1,Benign neoplasm of prostate
D30.01,Benign neoplasm of right kidney
D32,Benign neoplasm of meninges
D33,Benign neoplasm of brain and other parts of central nervous system
D33.0,"Benign neoplasm of brain, supratentorial"
D33.2,"Benign neoplasm of brain, unspecified"
D33.3,Benign neoplasm of cranial nerves
D36.0,Benign neoplasm of lymph nodes
D37.01,Neoplasm of uncertain behavior of lip
D37.02,Neoplasm of uncertain behavior of tongue
D37.05,Neoplasm of uncertain behavior of pharynx
D37.09,Neoplasm of uncertain behavior of other specified sites of the oral cavity
D37.1,Neoplasm of uncertain behavior of stomach
D37.3,Neoplasm of uncertain behavior of appendix
D37.4,Neoplasm of uncertain behavior of colon
D37.5,Neoplasm of uncertain behavior of rectum
D37.6,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts"
D38.1,"Neoplasm of uncertain behavior of trachea, bronchus and lung"
D38.3,Neoplasm of uncertain behavior of mediastinum
D38.4,Neoplasm of uncertain behavior of thymus
D39.0,Neoplasm of uncertain behavior of uterus
D39.10,Neoplasm of uncertain behavior of unspecified ovary
D39.9,"Neoplasm of uncertain behavior of female genital organ, unspecified"
D40.10,Neoplasm of uncertain behavior of unspecified testis
D41.00,Neoplasm of uncertain behavior of unspecified kidney
D41.3,Neoplasm of uncertain behavior of urethra
D43,Neoplasm of uncertain behavior of brain and central nervous system
D43.2,"Neoplasm of uncertain behavior of brain, unspecified"
D44.5,Neoplasm of uncertain behavior of pineal gland
D47.0,Mast cell neoplasms of uncertain behavior
D47.4,Osteomyelofibrosis
D48.5,Neoplasm of uncertain behavior of skin
D48.60,Neoplasm of uncertain behavior of unspecified breast
D48.9,"Neoplasm of uncertain behavior, unspecified"
D49,Neoplasms of unspecified behavior
D49.0,Neoplasm of unspecified behavior of digestive system
D49.1,Neoplasm of unspecified behavior of respiratory system
D49.2,"Neoplasm of unspecified behavior of bone, soft tissue, and skin"
D49.3,Neoplasm of unspecified behavior of breast
D49.4,Neoplasm of unspecified behavior of bladder
D49.5,Neoplasm of unspecified behavior of other genitourinary organs
D49.511,Neoplasm of unspecified behavior of right kidney
D49.512,Neoplasm of unspecified behavior of left kidney
D49.519,Neoplasm of unspecified behavior of unspecified kidney
D49.59,Neoplasm of unspecified behavior of other genitourinary organ
D49.6,Neoplasm of unspecified behavior of brain
D49.7,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
D49.8,Neoplasm of unspecified behavior of other specified sites
D49.89,Neoplasm of unspecified behavior of other specified sites
D49.9,Neoplasm of unspecified behavior of unspecified site
D50,Iron deficiency anemia
D50.0,Iron deficiency anemia secondary to blood loss (chronic)
D50.8,Other iron deficiency anemias
D50.9,"Iron deficiency anemia, unspecified"
D51.0,Vitamin B12 deficiency anemia due to intrinsic factor deficiency
D51.1,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria
D53.8,Other specified nutritional anemias
D53.9,"Nutritional anemia, unspecified"
D55.0,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
D56.4,Hereditary persistence of fetal hemoglobin [HPFH]
D57,Sickle-cell disorders
D57.0,Hb-SS disease with crisis
D57.00,"Hb-SS disease with crisis, unspecified"
D57.01,Hb-SS disease with acute chest syndrome
D57.09,Hb-SS disease with crisis with other specified complication
D57.1,Sickle-cell disease without crisis
D57.2,Sickle-cell/Hb-C disease
D57.20,Sickle-cell/Hb-C disease without crisis
D57.21,Sickle-cell/Hb-C disease with crisis
D57.218,Sickle-cell/Hb-C disease with crisis with other specified complication
D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified"
D57.3,Sickle-cell trait
D57.41,"Sickle-cell thalassemia, unspecified, with crisis"
D57.418,"Sickle-cell thalassemia, unspecified, with crisis with other specified complication"
D57.419,"Sickle-cell thalassemia, unspecified, with crisis"
D57.8,Other sickle-cell disorders
D57.81,Other sickle-cell disorders with crisis
D57.819,"Other sickle-cell disorders with crisis, unspecified"
D58.2,Other hemoglobinopathies
D58.9,"Hereditary hemolytic anemia, unspecified"
D59,Acquired hemolytic anemia
D59.1,Other autoimmune hemolytic anemias
D59.10,"Autoimmune hemolytic anemia, unspecified"
D59.6,Hemoglobinuria due to hemolysis from other external causes
D59.9,"Acquired hemolytic anemia, unspecified"
D61,Other aplastic anemias and other bone marrow failure syndromes
D61.81,Pancytopenia
D61.810,Antineoplastic chemotherapy induced pancytopenia
D61.818,Other pancytopenia
D62,Acute posthemorrhagic anemia
D63,Anemia in chronic diseases classified elsewhere
D63.1,Anemia in chronic kidney disease
D63.8,Anemia in other chronic diseases classified elsewhere
D64,Other anemias
D64.81,Anemia due to antineoplastic chemotherapy
D64.9,"Anemia, unspecified"
D65,Disseminated intravascular coagulation [defibrination syndrome]
D66,Hereditary factor VIII deficiency
D68,Other coagulation defects
D68.3,Hemorrhagic disorder due to circulating anticoagulants
D68.31,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D68.311,Acquired hemophilia
D68.318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D68.32,Hemorrhagic disorder due to extrinsic circulating anticoagulants
D68.8,Other specified coagulation defects
D68.9,"Coagulation defect, unspecified"
D69.0,Allergic purpura
D69.1,Qualitative platelet defects
D69.49,Other primary thrombocytopenia
D69.6,"Thrombocytopenia, unspecified"
D69.8,Other specified hemorrhagic conditions
D69.9,"Hemorrhagic condition, unspecified"
D70,Neutropenia
D70.1,Agranulocytosis secondary to cancer chemotherapy
D70.4,Cyclic neutropenia
D70.8,Other neutropenia
D70.9,"Neutropenia, unspecified"
D72.0,Genetic anomalies of leukocytes
D72.1,Eosinophilia
D72.81,Decreased white blood cell count
D72.818,Other decreased white blood cell count
D72.819,"Decreased white blood cell count, unspecified"
D72.82,Elevated white blood cell count
D72.820,Lymphocytosis (symptomatic)
D72.825,Bandemia
D72.828,Other elevated white blood cell count
D72.829,"Elevated white blood cell count, unspecified"
D72.89,Other specified disorders of white blood cells
D72.9,"Disorder of white blood cells, unspecified"
D73,Diseases of spleen
D73.3,Abscess of spleen
D73.5,Infarction of spleen
D73.89,Other diseases of spleen
D73.9,"Disease of spleen, unspecified"
D75,Other and unspecified diseases of blood and blood-forming organs
D75.82,Heparin induced thrombocytopenia (HIT)
D75.838,Other thrombocytosis
D75.89,Other specified diseases of blood and blood-forming organs
D75.9,"Disease of blood and blood-forming organs, unspecified"
D76.1,Hemophagocytic lymphohistiocytosis
D78.01,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen
D80.8,Other immunodeficiencies with predominantly antibody defects
D84.9,"Immunodeficiency, unspecified"
D86.0,Sarcoidosis of lung
D86.84,Sarcoid pyelonephritis
D86.9,"Sarcoidosis, unspecified"
D89.89,"Other specified disorders involving the immune mechanism, not elsewhere classified"
D89.9,"Disorder involving the immune mechanism, unspecified"
E03,Other hypothyroidism
E03.8,Other specified hypothyroidism
E03.9,"Hypothyroidism, unspecified"
E04.1,Nontoxic single thyroid nodule
E04.9,"Nontoxic goiter, unspecified"
E05,Thyrotoxicosis [hyperthyroidism]
E05.00,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
E05.01,Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
E05.11,Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
E05.90,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
E05.91,"Thyrotoxicosis, unspecified with thyrotoxic crisis or storm"
E06.9,"Thyroiditis, unspecified"
E07.9,"Disorder of thyroid, unspecified"
E08,Diabetes mellitus due to underlying condition
E08.0,Diabetes mellitus due to underlying condition with hyperosmolarity
E08.00,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E08.1,Diabetes mellitus due to underlying condition with ketoacidosis
E08.10,Diabetes mellitus due to underlying condition with ketoacidosis without coma
E08.11,Diabetes mellitus due to underlying condition with ketoacidosis with coma
E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified"
E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy
E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy
E08.59,Diabetes mellitus due to underlying condition with other circulatory complications
E08.64,Diabetes mellitus due to underlying condition with hypoglycemia
E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma
E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma
E08.65,Diabetes mellitus due to underlying condition with hyperglycemia
E08.69,Diabetes mellitus due to underlying condition with other specified complication
E08.8,Diabetes mellitus due to underlying condition with unspecified complications
E08.9,Diabetes mellitus due to underlying condition without complications
E09.10,Drug or chemical induced diabetes mellitus with ketoacidosis without coma
E09.3593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
E10,Type 1 diabetes mellitus
E10.1,Type 1 diabetes mellitus with ketoacidosis
E10.10,Type 1 diabetes mellitus with ketoacidosis without coma
E10.11,Type 1 diabetes mellitus with ketoacidosis with coma
E10.21,Type 1 diabetes mellitus with diabetic nephropathy
E10.29,Type 1 diabetes mellitus with other diabetic kidney complication
E10.40,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified"
E10.49,Type 1 diabetes mellitus with other diabetic neurological complication
E10.51,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
E10.618,Type 1 diabetes mellitus with other diabetic arthropathy
E10.622,Type 1 diabetes mellitus with other skin ulcer
E10.64,Type 1 diabetes mellitus with hypoglycemia
E10.641,Type 1 diabetes mellitus with hypoglycemia with coma
E10.649,Type 1 diabetes mellitus with hypoglycemia without coma
E10.65,Type 1 diabetes mellitus with hyperglycemia
E10.69,Type 1 diabetes mellitus with other specified complication
E10.8,Type 1 diabetes mellitus with unspecified complications
E10.9,Type 1 diabetes mellitus without complications
E11,Type 2 diabetes mellitus
E11.0,Type 2 diabetes mellitus with hyperosmolarity
