eSituation_10,DiagnosisCodeDescr
E11.10,Type 2 diabetes mellitus with ketoacidosis without coma
E11.29,Type 2 diabetes mellitus with other diabetic kidney complication
E11.622,Type 2 diabetes mellitus with other skin ulcer
E11.64,Type 2 diabetes mellitus with hypoglycemia
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma
E11.649,Type 2 diabetes mellitus with hypoglycemia without coma
E11.65,Type 2 diabetes mellitus with hyperglycemia
E11.69,Type 2 diabetes mellitus with other specified complication
E11.8,Type 2 diabetes mellitus with unspecified complications
E13,Other specified diabetes mellitus
E13.1,Other specified diabetes mellitus with ketoacidosis
E13.10,Other specified diabetes mellitus with ketoacidosis without coma
E13.42,Other specified diabetes mellitus with diabetic polyneuropathy
E13.64,Other specified diabetes mellitus with hypoglycemia
E13.641,Other specified diabetes mellitus with hypoglycemia with coma
E13.649,Other specified diabetes mellitus with hypoglycemia without coma
E13.65,Other specified diabetes mellitus with hyperglycemia
E13.8,Other specified diabetes mellitus with unspecified complications
E16.0,Drug-induced hypoglycemia without coma
E16.1,Other hypoglycemia
E16.2,"Hypoglycemia, unspecified"
E23.2,Diabetes insipidus
E27.40,Unspecified adrenocortical insufficiency
E46,Unspecified protein-calorie malnutrition
E61.9,"Deficiency of nutrient element, unspecified"
E66,Overweight and obesity
E66.0,Obesity due to excess calories
E66.01,Morbid (severe) obesity due to excess calories
E66.2,Morbid (severe) obesity with alveolar hypoventilation
E66.3,Overweight
E66.9,"Obesity, unspecified"
E72.51,Non-ketotic hyperglycinemia
E78.5,"Hyperlipidemia, unspecified"
E83.42,Hypomagnesemia
E83.51,Hypocalcemia
E83.52,Hypercalcemia
E84,Cystic fibrosis
E86.0,Dehydration
E86.1,Hypovolemia
E86.9,"Volume depletion, unspecified"
E87.0,Hyperosmolality and hypernatremia
E87.1,Hypo-osmolality and hyponatremia
E87.2,Acidosis
E87.5,Hyperkalemia
E87.6,Hypokalemia
E87.7,Fluid overload
E87.70,"Fluid overload, unspecified"
E87.79,Other fluid overload
E87.8,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E88.9,"Metabolic disorder, unspecified"
F01.50,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02,Dementia in other diseases classified elsewhere
F02.8,"Dementia in other diseases classified elsewhere, unspecified severity"
F02.80,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02.81,"Dementia in other diseases classified elsewhere, unspecified severity, with behavioral disturbance"
F03,Unspecified dementia
F03.9,"Unspecified dementia, unspecified severity"
F03.90,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F03.91,"Unspecified dementia, unspecified severity, with behavioral disturbance"
F05,Delirium due to known physiological condition
F06,Other mental disorders due to known physiological condition
F06.0,Psychotic disorder with hallucinations due to known physiological condition
F06.1,Catatonic disorder due to known physiological condition
F06.2,Psychotic disorder with delusions due to known physiological condition
F06.4,Anxiety disorder due to known physiological condition
F06.8,Other specified mental disorders due to known physiological condition
F07.8,Other personality and behavioral disorders due to known physiological condition
F07.89,Other personality and behavioral disorders due to known physiological condition
F07.9,Unspecified personality and behavioral disorder due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition
F10,Alcohol related disorders
F10.1,Alcohol abuse
F10.10,"Alcohol abuse, uncomplicated"
F10.12,Alcohol abuse with intoxication
F10.120,"Alcohol abuse with intoxication, uncomplicated"
F10.121,Alcohol abuse with intoxication delirium
F10.129,"Alcohol abuse with intoxication, unspecified"
F10.13,"Alcohol abuse, with withdrawal"
F10.130,"Alcohol abuse with withdrawal, uncomplicated"
F10.131,Alcohol abuse with withdrawal delirium
F10.139,"Alcohol abuse with withdrawal, unspecified"
F10.14,Alcohol abuse with alcohol-induced mood disorder
F10.15,Alcohol abuse with alcohol-induced psychotic disorder
F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
F10.180,Alcohol abuse with alcohol-induced anxiety disorder
F10.188,Alcohol abuse with other alcohol-induced disorder
F10.19,Alcohol abuse with unspecified alcohol-induced disorder
F10.2,Alcohol dependence
F10.20,"Alcohol dependence, uncomplicated"
F10.22,Alcohol dependence with intoxication
F10.221,Alcohol dependence with intoxication delirium
F10.229,"Alcohol dependence with intoxication, unspecified"
F10.23,Alcohol dependence with withdrawal
F10.230,"Alcohol dependence with withdrawal, uncomplicated"
F10.231,Alcohol dependence with withdrawal delirium
F10.232,Alcohol dependence with withdrawal with perceptual disturbance
F10.239,"Alcohol dependence with withdrawal, unspecified"
F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
F10.9,"Alcohol use, unspecified"
F10.92,"Alcohol use, unspecified with intoxication"
F10.920,"Alcohol use, unspecified with intoxication, uncomplicated"
F10.921,"Alcohol use, unspecified with intoxication delirium"
F10.929,"Alcohol use, unspecified with intoxication, unspecified"
F10.93,"Alcohol use, unspecified with withdrawal"
F10.939,"Alcohol use, unspecified with withdrawal, unspecified"
F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder"
F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
F10.99,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
F11,Opioid related disorders
F11.1,Opioid abuse
F11.10,"Opioid abuse, uncomplicated"
F11.12,Opioid abuse with intoxication
F11.120,"Opioid abuse with intoxication, uncomplicated"
F11.129,"Opioid abuse with intoxication, unspecified"
F11.13,Opioid abuse with withdrawal
F11.182,Opioid abuse with opioid-induced sleep disorder
F11.2,Opioid dependence
F11.20,"Opioid dependence, uncomplicated"
F11.22,Opioid dependence with intoxication
F11.23,Opioid dependence with withdrawal
F11.9,"Opioid use, unspecified"
F11.90,"Opioid use, unspecified, uncomplicated"
F11.92,"Opioid use, unspecified with intoxication"
F11.920,"Opioid use, unspecified with intoxication, uncomplicated"
F11.929,"Opioid use, unspecified with intoxication, unspecified"
F11.93,"Opioid use, unspecified with withdrawal"
F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder"
F12.10,"Cannabis abuse, uncomplicated"
F12.12,Cannabis abuse with intoxication
F12.120,"Cannabis abuse with intoxication, uncomplicated"
F12.121,Cannabis abuse with intoxication delirium
F12.129,"Cannabis abuse with intoxication, unspecified"
F12.9,"Cannabis use, unspecified"
F12.90,"Cannabis use, unspecified, uncomplicated"
F12.92,"Cannabis use, unspecified with intoxication"
F12.921,"Cannabis use, unspecified with intoxication delirium"
F12.922,"Cannabis use, unspecified with intoxication with perceptual disturbance"
F12.980,"Cannabis use, unspecified with anxiety disorder"
F12.99,"Cannabis use, unspecified with unspecified cannabis-induced disorder"
F13,"Sedative, hypnotic, or anxiolytic related disorders"
F13.1,"Sedative, hypnotic or anxiolytic-related abuse"
F13.10,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
F13.121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
F13.13,"Sedative, hypnotic or anxiolytic abuse with withdrawal"
F13.9,"Sedative, hypnotic or anxiolytic-related use, unspecified"
F13.93,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
F13.99,"Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F14,Cocaine related disorders
F14.1,Cocaine abuse
F14.10,"Cocaine abuse, uncomplicated"
F14.12,Cocaine abuse with intoxication
F14.120,"Cocaine abuse with intoxication, uncomplicated"
F14.129,"Cocaine abuse with intoxication, unspecified"
F14.13,"Cocaine abuse, unspecified with withdrawal"
F14.151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
F14.18,Cocaine abuse with other cocaine-induced disorder
F14.180,Cocaine abuse with cocaine-induced anxiety disorder
F14.9,"Cocaine use, unspecified"
F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
F14.99,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
F15,Other stimulant related disorders
F15.1,Other stimulant abuse
F15.10,"Other stimulant abuse, uncomplicated"
F15.12,Other stimulant abuse with intoxication
F15.121,Other stimulant abuse with intoxication delirium
F15.129,"Other stimulant abuse with intoxication, unspecified"
F15.180,Other stimulant abuse with stimulant-induced anxiety disorder
F15.23,Other stimulant dependence with withdrawal
F15.92,"Other stimulant use, unspecified with intoxication"
F15.920,"Other stimulant use, unspecified with intoxication, uncomplicated"
F15.93,"Other stimulant use, unspecified with withdrawal"
F16,Hallucinogen related disorders
F16.10,"Hallucinogen abuse, uncomplicated"
F16.12,Hallucinogen abuse with intoxication
F16.120,"Hallucinogen abuse with intoxication, uncomplicated"
F16.151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
F16.92,"Hallucinogen use, unspecified with intoxication"
F16.951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
F16.99,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
F17.203,"Nicotine dependence unspecified, with withdrawal"
F18,Inhalant related disorders
F18.10,"Inhalant abuse, uncomplicated"
F18.180,Inhalant abuse with inhalant-induced anxiety disorder
F18.92,"Inhalant use, unspecified with intoxication"
F18.99,"Inhalant use, unspecified with unspecified inhalant-induced disorder"
F19,Other psychoactive substance related disorders
F19.1,Other psychoactive substance abuse
F19.10,"Other psychoactive substance abuse, uncomplicated"
F19.12,Other psychoactive substance abuse with intoxication
F19.120,"Other psychoactive substance abuse with intoxication, uncomplicated"
F19.121,Other psychoactive substance abuse with intoxication delirium
F19.129,"Other psychoactive substance abuse with intoxication, unspecified"
F19.13,Other psychoactive substance abuse with withdrawal
F19.130,"Other psychoactive substance abuse with withdrawal, uncomplicated"
F19.150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions
F19.19,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
F19.2,Other psychoactive substance dependence
F19.20,"Other psychoactive substance dependence, uncomplicated"
F19.230,"Other psychoactive substance dependence with withdrawal, uncomplicated"
F19.239,"Other psychoactive substance dependence with withdrawal, unspecified"
F19.9,"Other psychoactive substance use, unspecified"
F19.92,"Other psychoactive substance use, unspecified with intoxication"
F19.920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated"
F19.93,"Other psychoactive substance use, unspecified with withdrawal"
F19.939,"Other psychoactive substance use, unspecified with withdrawal, unspecified"
F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
F19.99,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
F20,Schizophrenia
F20.0,Paranoid schizophrenia
F20.1,Disorganized schizophrenia
F20.2,Catatonic schizophrenia
F20.8,Other schizophrenia
F20.89,Other schizophrenia
F20.9,"Schizophrenia, unspecified"
F22,Delusional disorders
F23,Brief psychotic disorder
F25,Schizoaffective disorders
F25.9,"Schizoaffective disorder, unspecified"
F28,Other psychotic disorder not due to a substance or known physiological condition
F29,Unspecified psychosis not due to a substance or known physiological condition
F30,Manic episode
F30.11,"Manic episode without psychotic symptoms, mild"
F30.2,"Manic episode, severe with psychotic symptoms"
F30.9,"Manic episode, unspecified"
F31,Bipolar disorder
F31.0,"Bipolar disorder, current episode hypomanic"
F31.1,"Bipolar disorder, current episode manic without psychotic features"
F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified"
F31.11,"Bipolar disorder, current episode manic without psychotic features, mild"
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe"
F31.2,"Bipolar disorder, current episode manic severe with psychotic features"
F31.3,"Bipolar disorder, current episode depressed, mild or moderate severity"
F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
F31.31,"Bipolar disorder, current episode depressed, mild"
F31.9,"Bipolar disorder, unspecified"
F32,Depressive episode
F32.0,"Major depressive disorder, single episode, mild"
F32.8,Other depressive episodes
F32.9,"Major depressive disorder, single episode, unspecified"
F32.A,"Depression, unspecified"
F33,"Major depressive disorder, recurrent"
F33.0,"Major depressive disorder, recurrent, mild"
F33.1,"Major depressive disorder, recurrent, moderate"
F33.8,Other recurrent depressive disorders
F33.9,"Major depressive disorder, recurrent, unspecified"
F34.81,Disruptive mood dysregulation disorder
F39,Unspecified mood [affective] disorder
F40,Phobic anxiety disorders
F40.02,Agoraphobia without panic disorder
F40.9,"Phobic anxiety disorder, unspecified"
F41,Other anxiety disorders
F41.0,Panic disorder [episodic paroxysmal anxiety]
F41.1,Generalized anxiety disorder
F41.3,Other mixed anxiety disorders
F41.8,Other specified anxiety disorders
F41.9,"Anxiety disorder, unspecified"
F42,Obsessive-compulsive disorder
F43.0,Acute stress reaction
F43.1,Post-traumatic stress disorder (PTSD)
F43.10,"Post-traumatic stress disorder, unspecified"
F43.11,"Post-traumatic stress disorder, acute"
F43.12,"Post-traumatic stress disorder, chronic"
F43.21,Adjustment disorder with depressed mood
F43.22,Adjustment disorder with anxiety
F43.23,Adjustment disorder with mixed anxiety and depressed mood
F43.25,Adjustment disorder with mixed disturbance of emotions and conduct
F43.8,Other reactions to severe stress
F43.9,"Reaction to severe stress, unspecified"
F44.1,Dissociative fugue
F44.2,Dissociative stupor
F44.5,Conversion disorder with seizures or convulsions
F44.8,Other dissociative and conversion disorders
F44.89,Other dissociative and conversion disorders
F45.4,Pain disorders related to psychological factors
F45.41,Pain disorder exclusively related to psychological factors
F45.42,Pain disorder with related psychological factors
F48,Other nonpsychotic mental disorders
F48.9,"Nonpsychotic mental disorder, unspecified"
F50,Eating disorders
F50.0,Anorexia nervosa
F50.8,Other eating disorders
F50.9,"Eating disorder, unspecified"
F51.5,Nightmare disorder
F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F55,Abuse of non-psychoactive substances
F55.8,Abuse of other non-psychoactive substances
F60.0,Paranoid personality disorder
F60.1,Schizoid personality disorder
F60.3,Borderline personality disorder
F60.8,Other specific personality disorders
F63.89,Other impulse disorders
F68,Other disorders of adult personality and behavior
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F72,Severe intellectual disabilities
F79,Unspecified intellectual disabilities
F80.1,Expressive language disorder
F80.8,Other developmental disorders of speech and language
F80.89,Other developmental disorders of speech and language
F84.0,Autistic disorder
F90,Attention-deficit hyperactivity disorders
F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
F91.0,Conduct disorder confined to family context
F91.3,Oppositional defiant disorder
F91.8,Other conduct disorders
F91.9,"Conduct disorder, unspecified"
F93.8,Other childhood emotional disorders
F94.8,Other childhood disorders of social functioning
F99,"Mental disorder, not otherwise specified"
G00.9,"Bacterial meningitis, unspecified"
G03.9,"Meningitis, unspecified"
G06.0,Intracranial abscess and granuloma
G06.1,Intraspinal abscess and granuloma
G10,Huntington's disease
G12.21,Amyotrophic lateral sclerosis
G20,Parkinson's disease
G24.0,Drug induced dystonia
G24.9,"Dystonia, unspecified"
G25.0,Essential tremor
G25.1,Drug-induced tremor
G25.2,Other specified forms of tremor
G25.3,Myoclonus
G25.70,"Drug induced movement disorder, unspecified"
G25.81,Restless legs syndrome
G30,Alzheimer's disease
G30.0,Alzheimer's disease with early onset
G30.9,"Alzheimer's disease, unspecified"
G31.83,Neurocognitive disorder with Lewy bodies
G31.84,Mild cognitive impairment of uncertain or unknown etiology
G35,Multiple sclerosis
G40,Epilepsy and recurrent seizures
G40.1,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
G40.119,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus"
G40.21,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable"
G40.3,Generalized idiopathic epilepsy and epileptic syndromes
G40.4,Other generalized epilepsy and epileptic syndromes
G40.419,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus"
G40.5,Epileptic seizures related to external causes
G40.50,"Epileptic seizures related to external causes, not intractable"
G40.501,"Epileptic seizures related to external causes, not intractable, with status epilepticus"
G40.509,"Epileptic seizures related to external causes, not intractable, without status epilepticus"
G40.8,Other epilepsy and recurrent seizures
G40.821,"Epileptic spasms, not intractable, with status epilepticus"
G40.89,Other seizures
G40.9,"Epilepsy, unspecified"
G40.90,"Epilepsy, unspecified, not intractable"
G40.901,"Epilepsy, unspecified, not intractable, with status epilepticus"
G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus"
G40.911,"Epilepsy, unspecified, intractable, with status epilepticus"
G40.A,Absence epileptic syndrome
G43,Migraine
G43.009,"Migraine without aura, not intractable, without status migrainosus"
G43.1,Migraine with aura
G43.71,"Chronic migraine without aura, intractable"
G43.9,"Migraine, unspecified"
G43.90,"Migraine, unspecified, not intractable"
G43.909,"Migraine, unspecified, not intractable, without status migrainosus"
G43.919,"Migraine, unspecified, intractable, without status migrainosus"
G43.A,Cyclical vomiting
G43.A0,"Cyclical vomiting, in migraine, not intractable"
G43.A1,"Cyclical vomiting, in migraine, intractable"
G44.00,"Cluster headache syndrome, unspecified"
G44.1,"Vascular headache, not elsewhere classified"
G44.2,Tension-type headache
G44.20,"Tension-type headache, unspecified"
G44.209,"Tension-type headache, unspecified, not intractable"
G44.211,"Episodic tension-type headache, intractable"
G44.3,Post-traumatic headache
G44.30,"Post-traumatic headache, unspecified"
G44.301,"Post-traumatic headache, unspecified, intractable"
G44.309,"Post-traumatic headache, unspecified, not intractable"
G44.31,Acute post-traumatic headache
G44.311,"Acute post-traumatic headache, intractable"
G44.319,"Acute post-traumatic headache, not intractable"
G44.53,Primary thunderclap headache
G44.59,Other complicated headache syndrome
G44.83,Primary cough headache
G44.84,Primary exertional headache
G44.85,Primary stabbing headache
G44.89,Other headache syndrome
G45,Transient cerebral ischemic attacks and related syndromes
G45.3,Amaurosis fugax
G45.8,Other transient cerebral ischemic attacks and related syndromes
G45.9,"Transient cerebral ischemic attack, unspecified"
G46.3,Brain stem stroke syndrome
G46.4,Cerebellar stroke syndrome
G47.0,Insomnia
G47.00,"Insomnia, unspecified"
G47.01,Insomnia due to medical condition
G47.10,"Hypersomnia, unspecified"
G47.19,Other hypersomnia
G47.2,Circadian rhythm sleep disorders
G47.3,Sleep apnea
G47.33,Obstructive sleep apnea (adult) (pediatric)
G47.36,Sleep related hypoventilation in conditions classified elsewhere
G47.51,Confusional arousals
G47.61,Periodic limb movement disorder
G47.8,Other sleep disorders
G50.1,Atypical facial pain
G51,Facial nerve disorders
G51.0,Bell's palsy
G51.9,"Disorder of facial nerve, unspecified"
G56.91,Unspecified mononeuropathy of right upper limb
G56.92,Unspecified mononeuropathy of left upper limb
G57.91,Unspecified mononeuropathy of right lower limb
G57.92,Unspecified mononeuropathy of left lower limb
G58.7,Mononeuritis multiplex
G60.2,Neuropathy in association with hereditary ataxia
G61.0,Guillain-Barre syndrome
G62.9,"Polyneuropathy, unspecified"
G65.0,Sequelae of Guillain-Barré syndrome
G71.0,Muscular dystrophy
G71.00,"Muscular dystrophy, unspecified"
G72.3,Periodic paralysis
G72.9,"Myopathy, unspecified"
G80,Cerebral palsy
G80.4,Ataxic cerebral palsy
G80.9,"Cerebral palsy, unspecified"
G81,Hemiplegia and hemiparesis
G81.0,Flaccid hemiplegia
G81.00,Flaccid hemiplegia affecting unspecified side
G81.01,Flaccid hemiplegia affecting right dominant side
G81.02,Flaccid hemiplegia affecting left dominant side
G81.04,Flaccid hemiplegia affecting left nondominant side
G81.9,"Hemiplegia, unspecified"
G81.90,"Hemiplegia, unspecified affecting unspecified side"
G81.91,"Hemiplegia, unspecified affecting right dominant side"
G82.2,Paraplegia
G82.20,"Paraplegia, unspecified"
G82.5,Quadriplegia
G82.50,"Quadriplegia, unspecified"
G83.10,Monoplegia of lower limb affecting unspecified side
G83.20,Monoplegia of upper limb affecting unspecified side
G83.30,"Monoplegia, unspecified affecting unspecified side"
G83.9,"Paralytic syndrome, unspecified"
G89,"Pain, not elsewhere classified"
G89.0,Central pain syndrome
G89.1,"Acute pain, not elsewhere classified"
G89.11,Acute pain due to trauma
G89.18,Other acute postprocedural pain
G89.2,"Chronic pain, not elsewhere classified"
G89.21,Chronic pain due to trauma
G89.28,Other chronic postprocedural pain
G89.29,Other chronic pain
G89.3,Neoplasm related pain (acute) (chronic)
G89.4,Chronic pain syndrome
G90.01,Carotid sinus syncope
G90.50,"Complex regional pain syndrome I, unspecified"
G90.59,Complex regional pain syndrome I of other specified site
G91.9,"Hydrocephalus, unspecified"
G93.1,"Anoxic brain damage, not elsewhere classified"
G93.2,Benign intracranial hypertension
G93.4,Other and unspecified encephalopathy
G93.40,"Encephalopathy, unspecified"
G93.41,Metabolic encephalopathy
G93.49,Other encephalopathy
G93.5,Compression of brain
G93.82,Brain death
G93.89,Other specified disorders of brain
G93.9,"Disorder of brain, unspecified"
G95.20,Unspecified cord compression
G98.8,Other disorders of nervous system
H02.843,"Edema of right eye, unspecified eyelid"
H05.231,Hemorrhage of right orbit
H05.331,Deformity of right orbit due to trauma or surgery
H10.10,"Acute atopic conjunctivitis, unspecified eye"
H10.9,Unspecified conjunctivitis
H15.8,Other disorders of sclera
H21.01,"Hyphema, right eye"
H21.02,"Hyphema, left eye"
H21.56,Pupillary abnormalities
H21.561,"Pupillary abnormality, right eye"
H21.563,"Pupillary abnormality, bilateral"
